"CUST_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","CREDIT_BALANCE","BANK_FUNDS","CHECKING_AMOUNT","MONEY_MONTLY_OVERDRAWN","T_AMOUNT_AUTOM_PAYMENTS","MONTHLY_CHECKS_WRITTEN","MORTGAGE_AMOUNT","N_TRANS_ATM","N_MORTGAGES","N_TRANS_TELLER","CREDIT_CARD_LIMITS","N_TRANS_KIOSK","N_TRANS_WEB_BANK","LTV","LTV_BIN"
"CU7129","SHAD","CISNEROS","NY","NorthEast","M","Nurse","No",28,0,66207,0,1,1,2,"MARRIED",0,0,25,53.06,504,0,1300,0,1,0,900,1,1300,30351.75,"VERY HIGH"
"CU7131","LOUVENIA","ARRINGTON","CA","West","F","School Teacher","No",47,1,68091,1,1,1,1,"DIVORCED",0,2800,1186,53.5,3894,2,2500,4,1,1,900,1,2500,25222.75,"HIGH"
"CU7132","SHANNON","LUNA","CA","West","M","Nurse","No",39,0,68659,0,1,1,2,"SINGLE",0,0,25,53.06,504,0,360,0,1,0,900,1,360,32064.75,"VERY HIGH"
"CU7133","RIVA","CASH","IL","Midwest","F","Fireman","No",26,1,61301,5,1,1,5,"MARRIED",0,0,25,53.19,506,2,1500,3,1,0,900,1,1500,15425.25,"MEDIUM"
"CU7134","PABLO","REAVES","CA","West","M","Nurse","No",38,0,63581,0,1,0,2,"SINGLE",0,0,25,53.07,504,3,0,1,0,0,900,1,0,20695.25,"MEDIUM"
"CU7135","RAY","CABALLERO","NY","NorthEast","M","Nurse","No",42,0,66803,0,1,0,2,"SINGLE",0,0,25,53.07,531,1,0,1,0,0,900,1,0,21900.75,"MEDIUM"
"CU7136","CARL","MAGEE","CA","West","M","Nurse","No",36,0,69859,0,0,0,2,"SINGLE",0,0,25,53.08,0,1,0,1,0,0,900,1,0,22064.75,"HIGH"
"CU7137","WALLACE","CHRISTOPHER","NV","Southwest","M","Nurse","No",23,0,67749,0,1,0,2,"SINGLE",0,0,25,53.06,502,0,0,0,0,0,900,1,0,20237.25,"MEDIUM"
"CU7138","BONG","FONTAINE","UT","Southwest","F","Veterinarian","Yes",38,1,67410,1,1,1,1,"MARRIED",0,2150,25,54.06,1099,17,1000,5,1,1,700,1,300,24152.5,"HIGH"
"CU7140","DANNETTE","SLADE","NY","NorthEast","F","Law Enforcement Officer","No",36,1,60915,1,1,1,1,"DIVORCED",0,0,25,53.06,506,0,4000,0,1,1,1000,1,4000,22328.75,"HIGH"
"CU7141","BRYON","RICHMOND","NY","NorthEast","M","Nurse","No",35,1,63462,0,1,1,4,"MARRIED",0,600,25,53.14,1037,8,1000,2,1,2,900,1,1000,26365.5,"HIGH"
"CU7233","MARCELINO","RUBIN","CA","West","M","PROF-21","Yes",42,0,62470,1,1,1,1,"DIVORCED",0,3850,25,53.82,1333,4,2200,4,1,2,800,1,650,28317.5,"HIGH"
"CU7234","RUEBEN","BOWEN","CA","West","M","Nurse","No",41,1,67075,3,1,0,4,"SINGLE",0,1250,25,53.69,2733,4,0,4,0,3,700,1,550,11868.75,"LOW"
"CU7236","TIMOTHY","BRADSHAW","NY","NorthEast","M","IT Staff","Yes",26,1,58607,1,1,1,1,"MARRIED",0,1300,33,53.78,1190,2,700,4,1,3,1000,1,700,20751.75,"MEDIUM"
"CU11785","ELLIOT","MASON","MI","Midwest","M","Programmer/Developer","Yes",23,1,58159,3,1,0,3,"SINGLE",0,760,25,53.35,213,2,0,3,0,3,1000,10,0,7339.75,"LOW"
"CU11786","DEANDRE","NIELSEN","NY","NorthEast","M","PROF-33","No",44,0,71130,1,1,1,1,"DIVORCED",0,0,25,53.12,0,2,1822,2,1,1,1000,4,1822,30682.5,"VERY HIGH"
"CU11787","ISABELLA","HUGGINS","UT","Southwest","F","Not specified","No",56,1,64598,1,1,1,1,"DIVORCED",0,7500,11621,53.3,12003,10,2500,3,1,4,1000,4,2500,25249.5,"HIGH"
"CU11789","JESSE","PEARCE","MN","West","M","Programmer/Developer","No",38,0,61089,3,1,1,3,"SINGLE",0,0,25,53.08,0,1,500,1,1,1,700,4,500,24572.25,"HIGH"
"CU11790","MITTIE","BEVERLY","MI","Midwest","F","School Teacher","No",47,0,68780,3,1,1,4,"MARRIED",0,0,25,53.06,0,1,1300,0,1,1,700,4,1300,27895,"HIGH"
"CU15623","BUFFY","DOSS","MI","Midwest","F","PROF-51","No",26,1,67557,5,1,1,5,"MARRIED",0,0,25,53.04,0,2,1300,2,1,1,1500,4,1300,16989.25,"MEDIUM"
"CU15624","RENE","LEWIS","CA","West","M","PROF-51","No",32,1,70162,3,1,1,3,"MARRIED",0,0,25,53.21,0,1,1000,3,1,1,1000,3,1000,21240.5,"MEDIUM"
"CU15625","SANTO","BURDICK","CA","West","M","IT Staff","No",26,1,66312,3,1,1,3,"DIVORCED",0,650,47,53.18,109,6,2000,3,1,2,1500,2,300,19678,"MEDIUM"
"CU15626","RACQUEL","TOMLINSON","NY","NorthEast","F","Law Enforcement Officer","No",28,1,87700,1,1,1,1,"MARRIED",0,9000,25,53.86,7397,3,10000,4,1,4,5000,4,2000,28225,"HIGH"
"CU13359","ODELL","LOCKETT","NY","NorthEast","F","PROF-12","No",36,0,70234,1,1,1,1,"MARRIED",0,701,25,53.01,1269,4,1300,2,1,3,2500,1,1300,29658.5,"HIGH"
"CU13360","MCKINLEY","RICHEY","NY","NorthEast","M","Lab Technician","Yes",27,0,70889,3,1,1,3,"MARRIED",0,800,60,53.31,504,3,1031,3,1,3,1500,1,1031,25922.25,"HIGH"
"CU13362","MINH","COE","NY","NorthEast","M","PROF-7","No",20,1,65616,3,1,1,4,"DIVORCED",36590,950,25,55.03,58921,4,2000,5,1,3,2500,2,300,19404,"MEDIUM"
"CU13363","LOUIS","LIPSCOMB","CA","West","M","IT Staff","No",41,0,75387,3,1,1,3,"MARRIED",0,250,25,53.47,119,3,898,4,1,2,2500,2,898,28446.75,"HIGH"
"CU13364","SAMUAL","MARKS","CA","West","M","Professor","No",41,0,52762,4,1,1,4,"SINGLE",0,201,25,53.09,0,5,500,1,1,1,2500,1,500,21290.5,"MEDIUM"
"CU13365","AUGUST","AVALOS","MI","Midwest","M","PROF-18","No",21,0,68603,3,1,1,3,"SINGLE",0,250,62,53.08,0,8,329,1,1,2,1500,1,329,24750.75,"HIGH"
"CU13366","MARSHALL","SMALLS","NY","NorthEast","M","PROF-53","Yes",43,0,72200,3,1,1,3,"MARRIED",0,400,41,53.56,128,16,732,4,1,2,2500,1,732,27850,"HIGH"
"CU13367","JAMES","HOLLAND","CA","West","M","First-line Manager","No",26,0,72714,3,1,0,3,"SINGLE",0,0,25,53.07,177,3,0,1,0,0,1500,1,0,16278.5,"MEDIUM"
"CU13368","BOYCE","LEMONS","NY","NorthEast","M","Sales Representative","Yes",22,0,73216,3,1,1,3,"MARRIED",0,450,25,53.28,168,15,1000,3,1,2,1500,2,1000,26004,"HIGH"
"CU13370","NEVILLE","SAWYER","MI","Midwest","M","Administrative Assistant","No",24,0,71509,0,1,0,2,"SINGLE",0,0,25,53.05,100,3,0,2,0,0,1500,1,0,21277.25,"MEDIUM"
"CU13371","GARTH","MAGUIRE","MI","Midwest","M","Administrative Assistant","No",24,0,75516,0,0,0,2,"SINGLE",0,0,25,53.06,0,0,0,0,0,0,1500,1,0,22279,"HIGH"
"CU13372","DIVINA","LADD","MN","West","F","PROF-3","No",61,0,78773,6,1,1,4,"MARRIED",0,250,25,53.63,273,2,850,4,1,2,2500,1,850,25793.25,"HIGH"
"CU13374","ROBBI","STEVENS","TX","Southwest","F","Programmer/Developer","No",30,0,62174,4,1,0,4,"SINGLE",0,500,25,52.98,138,12,0,2,0,2,2500,1,0,12543.5,"LOW"
"CU13375","ORLANDO","HANKINS","MS","South","M","Programmer/Developer","No",23,0,63733,3,1,1,3,"SINGLE",0,500,258,53.04,282,7,250,2,1,2,1500,1,250,23733.25,"HIGH"
"CU13376","MANY","POOLE","MI","Midwest","F","PROF-14","Yes",60,1,54574,1,1,1,1,"MARRIED",0,1900,25,54.23,700,4,1033,5,1,1,2500,1,700,23143.5,"HIGH"
"CU13378","LOWELL","BILLINGS","OR","West","M","Fireman","Yes",43,0,83969,1,1,1,1,"DIVORCED",0,2200,25,57.26,1023,3,3531,6,1,1,2500,1,400,33792.25,"VERY HIGH"
"CU13379","SID","BURKETT","NY","NorthEast","M","Administrator","Yes",27,0,87441,5,1,1,5,"MARRIED",0,2730,25,55.6,2379,3,5000,6,1,1,4000,1,800,27060.25,"HIGH"
"CU13380","ELOY","RUTLEDGE","CA","West","M","Nurse","No",30,0,65658,3,1,1,3,"MARRIED",0,0,25,53.06,0,0,900,0,1,0,1500,1,900,24914.5,"HIGH"
"CU12956","EVIE","SIMMONS","NY","NorthEast","F","Author","No",59,1,68207,1,1,1,1,"MARRIED",0,1200,25,53.91,155,3,1000,4,1,3,1000,1,1000,26451.75,"HIGH"
"CU4149","HARLEY","BRADSHAW","CA","West","M","PROF-65","No",44,1,66324,0,1,0,2,"SINGLE",0,0,118,53.16,626,1,0,2,0,1,600,3,0,16981,"MEDIUM"
"CU9687","CHUNG","ZEPEDA","CA","West","F","Author","Yes",56,1,70689,1,1,1,1,"MARRIED",0,1650,25,54.76,865,14,1600,5,1,3,1000,3,1600,26772.25,"HIGH"
"CU9688","STEPHAN","MCCORMICK","NY","NorthEast","M","Programmer/Developer","No",23,1,69639,3,1,0,3,"SINGLE",0,650,6771,53.1,6801,2,0,2,0,2,1000,1,0,10209.75,"LOW"
"CU9689","FELICITAS","STACY","DC","NorthEast","F","PROF-46","No",23,1,66743,5,1,1,5,"DIVORCED",0,3200,35,53.2,153,9,3500,3,1,1,1000,1,550,16485.75,"MEDIUM"
"CU9691","MARGHERITA","BRANNON","MI","Midwest","F","Law Enforcement Officer","Yes",31,1,88892,4,1,2,4,"MARRIED",0,2001,25,57.03,1035,2,10000,6,2,1,4000,1,1,34323,"VERY HIGH"
"CU9692","BLAKE","HOOKER","MI","Midwest","M","Not specified","Yes",49,1,68311,1,1,1,1,"DIVORCED",0,3100,25,54.88,840,1,4902,5,1,1,3500,1,600,25477.75,"HIGH"
"CU9693","TISA","ALONZO","MN","West","F","PROF-32","No",42,0,60972,1,1,1,1,"MARRIED",0,601,25,53.15,4968,2,1500,2,1,2,1000,1,1500,27943,"HIGH"
"CU9694","ERWIN","HANCOCK","NY","NorthEast","M","Not specified","No",27,0,65015,3,1,2,3,"MARRIED",0,0,25,53.06,0,0,1500,0,2,0,1000,1,1500,34453.75,"VERY HIGH"
"CU9696","CHARIS","MCCLELLAN","CA","West","F","Fireman","No",35,1,66165,1,1,1,1,"DIVORCED",0,3900,8138,53.18,8993,4,3500,3,1,1,1000,1,500,23541.25,"HIGH"
"CU4357","FREEDA","CONTRERAS","MI","Midwest","F","Fireman","No",28,0,78327,1,1,1,1,"DIVORCED",0,0,25,57.9,606,1,3400,6,1,1,2000,1,3400,30881.75,"VERY HIGH"
"CU4358","CHARLIE","CODY","MI","Midwest","M","Construction Laborer","No",34,1,65403,3,1,0,3,"SINGLE",0,2040,185,53.77,702,7,0,4,0,1,700,3,720,10250.75,"LOW"
"CU4359","GUDRUN","DIXON","MI","Midwest","F","Plumber","No",34,1,65783,5,1,1,5,"DIVORCED",0,0,25,53.06,505,0,3500,0,1,0,1300,3,3500,17345.75,"MEDIUM"
"CU4360","DELLA","KELLY","IL","Midwest","F","Publisher","Yes",40,1,61922,1,1,2,1,"MARRIED",0,26600,25,52.53,5662,4,7500,2,2,5,900,1,4600,32980.5,"VERY HIGH"
"CU4361","GEARLDINE","BURTON","NY","NorthEast","F","Clerical","No",38,1,80296,1,1,2,4,"MARRIED",25408,25700,25,53.72,30300,3,8000,4,2,2,4000,2,4300,38874,"VERY HIGH"
"CU4362","TERRY","FINLEY","CA","West","M","PROF-20","No",42,1,67184,3,1,1,3,"DIVORCED",0,0,25,53.33,513,3,1876,3,1,1,1000,3,1876,21496,"MEDIUM"
"CU4363","BERENICE","ALBRECHT","MI","Midwest","F","PROF-67","No",37,1,63009,5,1,1,5,"MARRIED",10773,501,1525,53.53,12815,8,1250,4,1,2,500,2,1250,16952.25,"MEDIUM"
"CU4364","VALARIE","LYONS","NY","NorthEast","F","Veterinarian","No",45,1,59296,5,1,1,5,"DIVORCED",0,4650,4087,53.18,4676,3,2700,3,1,2,1000,3,800,16824,"MEDIUM"
"CU4365","HERBERT","BUCHANAN","MN","West","M","PROF-49","Yes",31,1,99028,5,1,1,5,"MARRIED",0,7000,28,58.22,5157,3,7800,6,1,4,5000,3,2300,25357,"HIGH"
"CU4366","MARCENE","BARTON","NV","Southwest","F","IT Staff","Yes",37,1,61219,1,1,1,1,"DIVORCED",0,4651,9356,53.76,10055,16,3500,4,1,4,1000,3,1,22504.75,"HIGH"
"CU4367","FELTON","MOSELEY","NY","NorthEast","M","Programmer/Developer","No",24,1,68871,3,1,0,3,"SINGLE",0,0,25,53.06,506,0,0,0,0,1,900,3,0,10117.75,"LOW"
"CU4368","LACI","WATTS","NY","NorthEast","F","PROF-5","No",73,1,57748,4,1,1,4,"MARRIED",0,1000,6557,53.85,7170,15,1000,4,1,2,900,3,1000,20737,"MEDIUM"
"CU4370","JI","CRENSHAW","CA","West","F","PROF-56","Yes",42,1,63153,1,1,1,4,"DIVORCED",0,1350,52,54.03,1672,4,2600,5,1,4,500,1,450,24988.25,"HIGH"
"CU4371","LILLY","GRADY","MS","South","F","IT Staff","No",46,1,63268,1,1,1,2,"MARRIED",0,9200,25,54.43,8284,4,6000,5,1,2,500,8,3000,24417,"HIGH"
"CU4372","CHAD","NEWELL","NV","Southwest","M","IT Staff","No",76,1,59379,0,1,0,2,"SINGLE",0,0,452,53.08,1060,2,0,1,0,0,900,8,0,18444.75,"MEDIUM"
"CU4373","MARTIN","DOWELL","CA","West","M","Cashier","No",31,0,61292,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,0,700,3,0,19423,"MEDIUM"
"CU4374","IRA","WHEELER","CA","West","M","Software Engineer","No",40,1,67268,3,1,1,3,"DIVORCED",0,3001,25,54.01,1471,2,3000,5,1,1,900,3,1,21317,"MEDIUM"
"CU4375","NORRIS","RAINES","CA","West","M","PROF-51","Yes",50,0,66003,1,1,1,1,"DIVORCED",0,2450,25,54.46,1572,12,2055,5,1,1,1400,3,350,30000.75,"VERY HIGH"
"CU4376","FORREST","HOWELL","CA","West","M","Author","No",58,0,65147,0,1,1,2,"MARRIED",0,501,25,53.07,518,1,1000,1,1,2,1100,3,1000,33086.75,"VERY HIGH"
"CU4377","SOPHIE","REID","MI","Midwest","F","PROF-26","Yes",36,1,58001,1,1,1,1,"MARRIED",0,500,25,53.48,846,6,1000,4,1,2,1300,1,1000,21600.25,"MEDIUM"
"CU4378","SANDY","EDDY","FL","South","M","Accountant","No",27,1,69327,3,1,2,3,"MARRIED",0,0,6833,52.94,7806,4,1100,2,2,1,1000,1,1100,30531.75,"VERY HIGH"
"CU4379","CARMEN","CRAFT","MI","Midwest","M","Not specified","Yes",40,1,56317,4,1,2,4,"DIVORCED",14967,2800,25,54.41,15967,7,3000,5,2,1,1500,3,3000,27079.25,"HIGH"
"CU4380","KAREY","BOWIE","MI","Midwest","F","Not specified","Yes",38,1,59252,5,1,1,5,"DIVORCED",0,0,25,53.12,2860,7,4200,2,1,1,900,1,4200,16113,"MEDIUM"
"CU4381","CLYDE","ODOM","NV","Southwest","M","Clerical","Yes",48,1,58537,1,1,0,1,"SINGLE",0,7100,25,53.64,524,2,0,4,0,4,900,3,2500,12934.25,"LOW"
"CU4382","EMMANUEL","ERNST","MI","Midwest","M","Clerical","No",40,1,59515,3,1,1,4,"MARRIED",0,13830,518,53.02,5420,4,1200,2,1,4,900,1,4230,19878.75,"MEDIUM"
"CU4383","JESSI","GUTIERREZ","NY","NorthEast","F","PROF-59","No",43,1,83174,1,1,1,4,"MARRIED",0,16600,3028,54.09,3602,4,8000,5,1,5,4000,3,3700,30093.5,"VERY HIGH"
"CU4384","KEVIN","PIERCE","FL","South","F","Lab Technician","Yes",31,1,63098,1,1,1,4,"MARRIED",0,8000,626,54.64,5029,2,5200,5,1,3,500,9,2000,23874.5,"HIGH"
"CU4386","GORDON","WILKERSON","CA","West","M","Nurse","No",41,0,66097,0,1,0,2,"SINGLE",33249,9200,25,57.01,34775,9,0,6,0,3,600,3,3000,21624.25,"MEDIUM"
"CU4387","TERRANCE","KANG","CA","West","M","Cashier","No",42,1,60422,4,1,2,4,"DIVORCED",0,1800,1410,54.01,2713,3,2000,5,2,1,1000,3,2000,28305.5,"HIGH"
"CU4388","ALEXA","MCKEE","OR","West","F","Clerical","No",44,1,69451,3,1,1,4,"MARRIED",52461,15900,21088,55.83,81789,4,5000,6,1,2,1400,3,2500,22762.75,"HIGH"
"CU4389","LEONEL","DUNHAM","FL","South","M","Secretary","No",47,1,69834,1,1,2,1,"DIVORCED",0,5700,2031,54.19,4177,3,2500,5,2,3,1000,3,1200,35658.5,"VERY HIGH"
"CU4390","KRISTIN","RILEY","MI","Midwest","F","Clerical","No",34,1,61004,1,1,1,5,"DIVORCED",0,6782,25,53.89,1271,12,3800,4,1,7,2000,3,1482,24151,"HIGH"
"CU4391","CARIN","BALLARD","MI","Midwest","F","School Teacher","No",35,0,72985,5,1,1,5,"DIVORCED",0,0,25,53.08,506,2,2840,1,1,0,1500,3,2840,24246.25,"HIGH"
"CU384","ENRIQUETA","BEAVERS","CA","West","F","Not specified","No",29,0,56295,5,1,1,5,"DIVORCED",0,4500,5845,53.75,6357,4,2500,4,1,1,1500,8,2500,19473.75,"MEDIUM"
"CU385","ARIELLE","DYE","NY","NorthEast","F","School Teacher","No",79,1,71057,5,1,1,5,"DIVORCED",4752,4350,9827,53.51,15114,4,2500,4,1,6,1500,4,750,23164.25,"HIGH"
"CU386","KENDRA","QUEZADA","DC","NorthEast","F","Not specified","No",55,1,61521,1,1,1,1,"WIDOWED",0,0,25,93.64,506,0,6500,8,1,0,500,0,6500,24380.25,"HIGH"
"CU387","GERALDO","IRVIN","CA","West","M","Waiter/Waitress","No",27,0,65791,0,1,0,2,"SINGLE",0,0,25,53.06,519,0,0,0,0,0,500,0,0,20147.75,"MEDIUM"
"CU388","SPENCER","SNOW","WA","West","M","Construction Laborer","Yes",47,0,60430,1,1,1,1,"DIVORCED",0,8850,25,61.01,5601,18,2500,7,1,1,900,0,1500,28307.5,"HIGH"
"CU389","SEYMOUR","PINEDA","NY","NorthEast","M","PROF-9","No",37,0,62726,3,1,1,3,"DIVORCED",0,0,25,53.07,518,1,2512,1,1,1,1000,0,2512,24881.5,"HIGH"
"CU390","GRACIA","ENNIS","CA","West","F","Not specified","No",27,1,57839,1,1,1,1,"DIVORCED",0,801,1689,53.16,2201,4,2800,2,1,3,900,0,2800,20659.75,"MEDIUM"
"CU391","AMAL","MINOR","NY","NorthEast","F","Truck Driver","No",38,0,61774,1,1,1,1,"MARRIED",0,9800,287,55.99,2019,8,6000,6,1,4,900,0,2000,27743.5,"HIGH"
"CU6068","KAREY","DAILEY","IL","Midwest","F","Plumber","Yes",44,1,59469,5,1,1,5,"MARRIED",0,1050,206,52.88,898,4,800,2,1,3,900,1,800,16767.25,"MEDIUM"
"CU6069","JAMAAL","MALONEY","NY","NorthEast","M","PROF-27","No",27,1,71943,3,1,1,3,"MARRIED",0,250,81,53.58,0,3,720,4,1,1,2200,1,720,21185.75,"MEDIUM"
"CU7280","LEANNE","AUSTIN","CA","West","F","Software Engineer","No",30,1,70338,5,1,1,5,"DIVORCED",0,8200,11320,53.38,12578,4,4000,3,1,2,1500,1,1300,18084.5,"MEDIUM"
"CU7281","HAL","KIRKPATRICK","FL","South","M","Nurse","No",68,1,53605,0,1,0,2,"SINGLE",0,12000,25,58.8,11608,2,0,6,0,4,2500,6,0,16201.25,"MEDIUM"
"CU3057","JOELLE","PENN","CA","West","F","PROF-15","Yes",49,1,69169,1,1,1,1,"MARRIED",0,1600,426,53.05,2726,7,1800,2,1,1,900,2,1800,25692.25,"HIGH"
"CU3058","WILL","HIGH","NY","NorthEast","M","Construction Laborer","No",20,0,62290,3,1,1,3,"MARRIED",0,0,142,52.97,1136,3,700,2,1,1,500,2,700,23072.5,"HIGH"
"CU3060","SID","FLYNN","NY","NorthEast","M","Administrative Assistant","No",48,1,63273,0,1,0,2,"SINGLE",0,0,25,53.43,1105,3,0,4,0,2,500,4,0,16618.25,"MEDIUM"
"CU3061","HERSHEL","BENOIT","NY","NorthEast","M","PROF-57","No",38,0,63685,0,1,0,2,"SINGLE",0,0,25,53.06,506,0,0,0,0,0,900,2,0,20721.25,"MEDIUM"
"CU3062","JODEE","COLON","MI","Midwest","F","IT Staff","No",42,1,58761,1,1,1,1,"MARRIED",0,786,25,53.21,553,1,1500,3,1,3,1500,1,393,22390.25,"HIGH"
"CU3064","ADRIAN","BEAL","NY","NorthEast","M","Programmer/Developer","No",25,1,58485,3,1,1,3,"MARRIED",0,0,25,53.06,506,0,1000,0,1,1,900,2,1000,17621.25,"MEDIUM"
"CU3065","RISA","TUCKER","NY","NorthEast","F","PROF-1","No",53,1,66372,1,1,1,1,"DIVORCED",0,6282,14522,53.8,15036,12,2300,4,1,6,1300,2,1495,25393,"HIGH"
"CU3066","FRED","ERNST","DC","NorthEast","M","IT Staff","Yes",42,1,81173,1,1,2,4,"DIVORCED",0,5001,156,53.89,606,3,3500,4,2,4,2000,2,1,39493.25,"VERY HIGH"
"CU3067","DANE","HANSEN","NV","Southwest","M","Accountant","No",46,1,74929,0,1,1,2,"MARRIED",0,5900,19717,53.99,20384,3,1300,5,1,3,1500,2,1300,29332.25,"HIGH"
"CU3069","DONNELL","SERRANO","NC","South","M","PROF-61","No",47,0,62664,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,1,500,2,0,21366,"MEDIUM"
"CU3070","ROBERTO","PATTEN","WA","West","M","Truck Driver","No",33,1,61789,0,1,1,2,"DIVORCED",0,10300,11174,54.36,12132,3,3000,5,1,4,1300,3,2400,24747.25,"HIGH"
"CU3071","ELENORE","PETTIT","MN","West","F","Software Engineer","Yes",44,1,57344,5,1,1,5,"MARRIED",0,4620,598,55.36,1478,4,1634,5,1,2,1400,2,800,16236,"MEDIUM"
"CU3072","TONEY","HOLMAN","CA","West","M","Administrative Assistant","No",0,0,65988,0,1,0,2,"SINGLE",0,0,25,53.08,618,1,0,1,0,0,500,2,0,0,"LOW"
"CU3073","ZACKARY","BETTS","MI","Midwest","M","PROF-3","Yes",44,1,63255,1,1,1,1,"MARRIED",0,3500,25,54.76,2052,1,1700,5,1,1,1400,2,600,23713.75,"HIGH"
"CU3074","BURL","BROWNING","CA","West","M","PROF-56","No",54,0,66311,0,1,0,2,"SINGLE",0,0,2662,53.08,3597,17,0,1,0,0,900,2,0,22977.75,"HIGH"
"CU3075","HOLLY","NIX","NY","NorthEast","F","Plumber","No",57,1,59390,1,1,1,2,"DIVORCED",0,3025,161,53.14,676,12,2500,2,1,2,900,2,975,24547.5,"HIGH"
"CU3076","ELIZABET","MASTERS","NY","NorthEast","F","Cashier","Yes",49,1,63830,1,1,1,4,"DIVORCED",0,8300,25,53.24,5617,2,3400,3,1,2,500,10,1300,25857.5,"HIGH"
"CU3077","VERNON","HENDERSON","FL","South","M","PROF-49","No",53,1,62509,1,1,1,1,"WIDOWED",0,11500,623,53.66,1417,2,5832,4,1,3,500,5,1000,24427.25,"HIGH"
"CU3078","SAVANNAH","KRAUSE","NY","NorthEast","F","IT Staff","No",71,1,66922,6,1,2,4,"WIDOWED",193975,13500,7983,54.75,202466,7,8000,5,2,5,500,2,2000,28830.5,"HIGH"
"CU3080","SHALON","JARVIS","MI","Midwest","F","Technical Writer","No",48,1,65570,1,1,1,1,"MARRIED",0,1800,5807,53.13,6986,2,1500,2,1,3,800,9,1500,24692.5,"HIGH"
"CU3081","SAMMIE","ODOM","MI","Midwest","M","PROF-6","No",42,1,59405,0,1,0,2,"SINGLE",0,1550,1394,53.25,2338,4,0,3,0,3,600,1,500,15051.25,"MEDIUM"
"CU3082","JANELL","BENEDICT","NY","NorthEast","F","IT Staff","Yes",43,1,61909,3,1,2,4,"MARRIED",0,6700,25,53.74,3035,2,8000,4,2,4,500,2,8000,30777.25,"VERY HIGH"
"CU3083","DAREN","TOWNSEND","NY","NorthEast","M","IT Staff","No",26,1,60671,3,1,1,3,"DIVORCED",0,2850,25,53.38,5235,3,3000,3,1,1,900,2,3000,18267.75,"MEDIUM"
"CU3084","SHON","COHEN","NY","NorthEast","M","PROF-44","No",24,0,57964,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,0,900,2,0,17891,"MEDIUM"
