MARITAL_STATUS,STATE,CREDIT_BALANCE,CUSTOMER_TENURE,MORTGAGE_AMOUNT,BANK_FUNDS,NUM_DEPENDENTS,HAS_CHILDREN,INCOME,CUSTOMER_ID,GENDER,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOME_OWNERSHIP,NUM_ONLINE_TRANS,BUY_INSURANCE,MONTHLY_CHECKS,NUM_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,LTV,TOTAL_AUTOM_PAYMENTS,NUM_TRANS_TELLER,CHECKING_BALANCE,NUM_TRANS_ATM,LTV_BIN,FIRST_NAME,NUM_MORTGAGES,CAR_OWNERSHIP,LAST_NAME
MARRIED,UT,0,1,786,0,1,0,60417,CU15295,M,PROF-52,2500,Southwest,1,786,No,0,5,45,53.06,28104.25,0,0,25,0,HIGH,LAVERNE,1,1,FLAHERTY
MARRIED,UT,0,3,1000,0,3,0,67781,CU15296,M,Programmer/Developer,1500,Southwest,1,1000,No,2,5,25,53.05,24945.25,0,0,25,2,HIGH,ALEC,1,1,CARDONA
DIVORCED,CA,0,1,3000,16950,1,1,64557,CU3244,F,PROF-59,1000,West,1,2800,Yes,4,3,48,54.56,24439.25,2143,5,25,5,HIGH,TA,1,1,AMBROSE
MARRIED,NY,0,3,1200,1000,3,1,54636,CU3272,M,PROF-6,1500,NorthEast,1,1200,No,15,1,22,53.18,16359,3707,3,3079,3,MEDIUM,DOMENIC,1,1,MARRERO
MARRIED,OR,0,1,900,0,1,1,70239,CU3309,M,PROF-30,900,West,1,900,No,8,1,69,53.09,27959.75,635,1,120,1,HIGH,CLAUD,1,1,LEAVITT
MARRIED,MI,109,1,1200,0,1,0,65853,CU3336,M,Plumber,500,Midwest,1,1200,No,13,1,45,53.22,29463.25,2159,1,1223,3,HIGH,BRYON,1,1,SORENSON
MARRIED,NY,19204,2,1200,1200,2,1,65968,CU3377,F,School Teacher,700,NorthEast,1,1200,No,2,2,49,54.02,23392,20020,3,304,5,HIGH,EVE,1,1,RANDOLPH
DIVORCED,NY,1375,4,3000,5700,6,1,58686,CU3407,F,PROF-21,1700,NorthEast,1,1500,No,4,2,53,54.19,14971.5,13620,4,11687,5,MEDIUM,MICHELE,1,1,PETERS
MARRIED,FL,0,1,1400,0,1,0,60461,CU3429,M,School Teacher,900,South,1,1400,No,0,2,30,53.07,26615.25,503,0,25,1,HIGH,DERRICK,1,1,BERNAL
MARRIED,MI,35208,1,8000,26500,1,1,68468,CU3456,F,Clerical,900,Midwest,1,5000,No,4,8,47,54.51,25317,36647,3,25,5,HIGH,MERYL,1,1,SLADE
SINGLE,MI,25209,2,0,6725,0,1,66144,CU3527,M,Not specified,500,Midwest,0,1056,Yes,1,3,40,54.18,16536,48524,1,20614,5,MEDIUM,SID,0,1,LINK
SINGLE,CA,0,2,0,0,0,0,64150,CU3570,M,Administrative Assistant,500,West,0,0,No,0,3,54,56.3,22437.5,504,1,25,6,HIGH,GEOFFREY,0,1,PETTY
MARRIED,IL,0,3,1061,850,3,1,62754,CU10956,M,Cashier,1000,Midwest,1,1061,Yes,12,2,58,55.12,21988.5,582,3,25,5,MEDIUM,RANDELL,1,1,RYAN
SINGLE,CA,0,3,0,500,3,0,65408,CU10958,M,Programmer/Developer,1000,West,0,0,Yes,4,1,20,53.5,13852,160,2,25,4,LOW,LEIF,0,1,GRAYSON
DIVORCED,CA,0,1,2500,0,1,0,71584,CU10959,M,Fireman,1500,West,1,2500,No,0,1,40,53.06,30396,0,1,25,0,VERY HIGH,GREG,1,1,LILES
SINGLE,MS,0,3,348,500,3,0,61100,CU10960,M,Programmer/Developer,1000,South,1,348,No,11,1,22,53.19,22975,0,2,51,3,HIGH,BENTON,1,1,WHITEHEAD
SINGLE,NY,0,3,250,500,3,0,61249,CU10962,M,Programmer/Developer,1000,NorthEast,1,250,Yes,16,1,19,53.04,22712.25,0,2,25,2,HIGH,MARGARITO,1,1,POWELL
SINGLE,NY,0,3,0,251,3,0,69116,CU10964,M,Programmer/Developer,1000,NorthEast,0,0,No,6,1,22,53.63,14979,0,2,25,4,MEDIUM,JONATHON,0,0,MCGRATH
MARRIED,NY,0,3,1200,850,3,1,67365,CU10965,M,PROF-3,1500,NorthEast,1,1200,No,4,1,26,53.58,19941.25,330,3,195,4,MEDIUM,ALTON,1,1,RASMUSSEN
MARRIED,NY,0,3,1650,0,3,0,67330,CU10966,M,Truck Driver,1500,NorthEast,1,1650,No,0,1,24,53.06,24732.5,0,1,25,0,HIGH,CLIFTON,1,1,BRAND
SINGLE,FL,0,3,0,500,3,0,61796,CU10967,M,Programmer/Developer,1000,South,0,0,Yes,14,8,23,53.95,13249,254,2,93,4,LOW,OSCAR,0,1,HITCHCOCK
SINGLE,MI,0,3,0,0,3,0,66391,CU10968,M,Programmer/Developer,1000,Midwest,0,0,No,0,1,22,53.25,14297.75,0,1,25,3,MEDIUM,CLARENCE,0,0,VILLANUEVA
SINGLE,NY,0,1,0,4550,1,1,64851,CU10969,M,Administrator,1000,NorthEast,0,450,Yes,4,1,30,54.78,12712.75,903,1,25,5,LOW,LEON,0,1,DOBBINS
DIVORCED,MI,0,1,3000,2480,1,1,60610,CU10970,F,IT Staff,1500,Midwest,1,450,Yes,3,1,30,53.9,21652.5,3078,1,2473,4,MEDIUM,HILARIA,1,1,STAPLETON
SINGLE,TX,0,3,0,0,3,0,69258,CU12200,M,Programmer/Developer,1000,Southwest,0,0,No,11,4,30,53.08,15814.5,0,1,25,1,MEDIUM,LAZARO,0,0,LAIRD
SINGLE,CA,0,3,400,590,3,1,61384,CU8720,M,Waiter/Waitress,1000,West,1,400,Yes,2,1,23,53.98,18146,208,2,25,5,MEDIUM,KENNETH,1,1,NADEAU
DIVORCED,WA,0,3,2050,650,3,1,63525,CU8721,M,Software Engineer,1000,West,1,2050,Yes,13,3,22,54.35,18581.25,242,2,25,5,MEDIUM,JARVIS,1,1,CLARKE
DIVORCED,NY,0,4,2500,700,1,0,71504,CU8722,F,IT Staff,1000,NorthEast,1,2500,No,1,1,42,53.79,32076,393,3,118,4,VERY HIGH,STACEY,1,1,HENSON
WIDOWED,NY,0,4,8000,26600,1,1,67314,CU3750,F,School Teacher,900,NorthEast,1,5000,Yes,2,2,52,53.12,27028.5,930,5,336,2,HIGH,ENID,1,1,FARRIS
SINGLE,UT,0,2,0,0,0,0,67422,CU15239,M,PROF-28,2500,Southwest,0,0,No,0,5,48,53.06,22655.5,0,0,25,0,HIGH,EDMUNDO,0,0,CRAMER
SINGLE,UT,0,3,0,0,3,0,64518,CU15241,M,Professor,1500,Southwest,0,0,No,3,5,20,53.05,13629.5,0,0,25,2,LOW,PATRICK,0,0,KIMBALL
MARRIED,UT,72,1,1200,800,1,0,60528,CU15242,F,IT Staff,2500,Southwest,1,250,No,13,5,48,52.99,28432,360,3,100,2,HIGH,MYRL,1,1,RANDOLPH
SINGLE,UT,0,2,0,0,0,0,76928,CU15243,M,Clerical,1500,Southwest,0,0,No,0,5,27,53.09,22932,0,0,25,1,HIGH,LUCIO,0,0,VALENTINE
MARRIED,UT,0,2,1106,200,2,0,74864,CU15244,M,Fireman,2500,Southwest,1,1106,No,5,5,46,53.04,30316,0,1,25,2,VERY HIGH,VINCE,1,1,CANALES
SINGLE,UT,0,3,200,0,3,0,62354,CU15246,M,PROF-27,1500,Southwest,1,200,No,0,5,26,53.06,23688.5,0,0,25,0,HIGH,MICHEL,1,1,WATTS
SINGLE,UT,0,3,0,0,3,0,74769,CU15247,M,IT Staff,1500,Southwest,0,0,No,6,5,24,54.59,16592.25,5562,0,25,5,MEDIUM,ALDEN,0,1,DOW
MARRIED,UT,0,1,1000,250,1,0,56655,CU15248,M,PROF-12,2500,Southwest,1,1000,No,2,5,33,53.23,25963.75,5285,2,5275,3,HIGH,CARMINE,1,1,BUSCH
SINGLE,UT,0,2,0,0,2,0,66606,CU15249,M,Bank Teller,2500,Southwest,0,0,No,1,5,41,53.05,17751.5,0,0,25,2,MEDIUM,CYRIL,0,0,GOODWIN
SINGLE,UT,0,1,0,0,1,0,78519,CU15250,M,Professor,2500,Southwest,0,0,No,0,5,39,53.06,22029.75,0,0,25,0,HIGH,ERVIN,0,0,SLAUGHTER
SINGLE,UT,0,3,0,0,3,0,66744,CU15251,M,Cashier,1500,Southwest,0,0,No,0,5,21,53.06,14286,0,0,25,0,MEDIUM,GUS,0,0,MCKINNEY
DIVORCED,MI,50987,5,4000,10300,1,1,60380,CU5515,F,Not specified,900,Midwest,2,1000,No,8,0,68,56.25,37395,55358,4,25,6,VERY HIGH,ALLISON,2,1,HOLLIDAY
OTHER,MI,30893,1,15000,22000,1,0,67160,CU5516,F,Clerical,1600,Midwest,2,5000,No,1,0,63,54.27,41590,31426,3,25,5,VERY HIGH,GENNA,2,1,WELSH
SINGLE,FL,179,1,0,17001,1,0,63311,CU5518,M,Clerical,600,South,0,1,No,4,0,69,54.17,21227.75,9561,5,2761,5,MEDIUM,VICTOR,0,1,EATON
MARRIED,CO,0,5,900,450,5,1,78689,CU15842,F,School Teacher,2500,West,1,900,Yes,3,4,33,53.11,20472.25,211,2,25,2,MEDIUM,GLADY,1,1,HAWLEY
MARRIED,MS,0,3,700,550,3,0,74255,CU15843,M,Cashier,1500,South,1,700,No,8,4,27,53.15,26763.75,325,2,25,2,HIGH,HUGO,1,1,CALLAHAN
DIVORCED,NV,0,1,2000,301,1,1,82816,CU15845,M,PROF-19,2500,Southwest,1,2000,No,2,4,31,53.68,27304,507,2,25,4,HIGH,LOUIS,1,1,MOCK
DIVORCED,NY,0,1,2000,950,1,0,53294,CU15846,M,PROF-1,2500,NorthEast,1,300,No,7,4,36,53.51,25423.5,107,3,25,4,HIGH,PORTER,1,1,TRIPLETT
SINGLE,NY,0,1,616,0,1,0,71859,CU15848,M,Construction Laborer,2500,NorthEast,1,616,No,0,4,31,53.07,29564.75,0,0,25,1,HIGH,MATT,1,1,BRYAN
SINGLE,NY,0,3,200,0,3,0,61764,CU15849,M,PROF-3,2500,NorthEast,1,200,No,0,4,43,53.06,25241,0,0,25,0,HIGH,MILLARD,1,1,TORRES
SINGLE,CA,0,3,483,250,3,0,60605,CU15615,M,Sales Representative,1000,West,1,483,No,2,4,26,53.36,23251.25,0,2,25,3,HIGH,CAMERON,1,1,ABRAHAM
MARRIED,CA,0,3,1700,1300,3,1,71881,CU15645,M,PROF-5,1500,West,1,1700,No,2,2,31,55.49,21570.25,9408,3,9398,5,MEDIUM,KAREEM,1,1,CHASE
MARRIED,NV,0,1,1800,850,1,1,75086,CU15699,M,Truck Driver,1500,Southwest,1,250,No,8,4,40,53.17,26271.5,203,3,184,2,HIGH,ELOY,1,1,DRAKE
SINGLE,NV,0,1,0,0,1,0,66239,CU15753,M,PROF-5,2500,Southwest,0,0,No,0,4,34,53.07,18459.75,0,0,25,1,MEDIUM,HANS,0,0,PLUMMER
DIVORCED,CA,0,3,2000,0,3,1,62093,CU10281,M,PROF-29,1500,West,1,2000,No,1,1,40,52.71,20023.25,113,1,25,2,MEDIUM,LEANDRO,1,1,SCHAEFER
DIVORCED,NY,74838,1,3190,13300,1,1,62572,CU10282,F,School Teacher,800,NorthEast,1,3300,No,3,1,53,55.92,24443,89079,4,14221,6,HIGH,JANETTE,1,1,ENGEL
DIVORCED,DC,0,4,2000,1950,1,1,71775,CU14070,F,Truck Driver,1500,NorthEast,1,350,No,4,1,50,54.83,27943.75,1645,1,1281,5,HIGH,OZELL,1,1,PATTEN
MARRIED,NC,0,1,710,0,1,0,67559,CU14071,M,Childcare Worker,1000,South,1,710,No,2,1,30,53.05,28389.75,0,1,25,2,HIGH,JASPER,1,1,LINK
MARRIED,NY,0,3,700,500,3,0,62007,CU14072,M,Programmer/Developer,1000,NorthEast,1,700,Yes,10,1,26,53.49,23601.75,238,2,25,4,HIGH,BRICE,1,1,MCNEILL
SINGLE,CA,0,3,273,0,3,0,60250,CU14073,M,Administrative Assistant,1000,West,1,273,No,0,1,30,53.06,23562.5,0,0,25,0,HIGH,GARRET,1,1,DAILEY
SINGLE,FL,0,3,0,500,3,0,63002,CU14075,M,Programmer/Developer,1000,South,0,0,No,14,2,19,53.23,13150.5,0,2,25,3,LOW,MIGUEL,0,0,GATLIN
SINGLE,OR,0,1,202,0,1,0,68679,CU14078,M,Technical Writer,1000,West,1,202,No,2,1,22,53.05,27869.75,0,0,25,2,HIGH,SAMMIE,1,1,WALKER
SINGLE,CA,0,1,156,0,1,0,60891,CU14079,M,PROF-27,600,West,1,156,No,2,1,38,53.06,27522.75,0,0,25,0,HIGH,BRENDON,1,1,RUDD
DIVORCED,NC,0,1,3000,1901,1,0,59828,CU14080,M,PROF-10,1500,South,1,1,No,2,1,33,52.14,26757,1072,1,25,2,HIGH,HUMBERTO,1,1,HUMPHRIES
SINGLE,CA,0,3,0,500,3,0,64044,CU14081,M,Programmer/Developer,1000,West,0,0,No,6,1,19,53.22,13411,429,2,25,3,LOW,DONN,0,1,MANNING
SINGLE,NY,0,3,250,0,3,0,66738,CU14880,M,Programmer/Developer,1000,NorthEast,1,250,No,0,1,24,53.06,24584.5,0,1,25,0,HIGH,DANIAL,1,1,ARAGON
SINGLE,UT,0,1,0,0,1,0,83089,CU15222,M,PROF-34,2500,Southwest,0,0,No,0,5,42,53.05,23472.25,0,0,25,2,HIGH,LEANDRO,0,0,REID
SINGLE,UT,0,5,300,250,5,0,76453,CU15223,F,Programmer/Developer,2500,Southwest,1,300,No,2,5,21,53.04,23713.25,0,2,25,2,HIGH,LESLEE,1,1,STALLINGS
SINGLE,NV,0,2,0,0,0,0,61230,CU4676,M,Administrative Assistant,500,Southwest,0,0,No,0,3,40,53.06,20307.5,504,1,25,0,MEDIUM,QUENTIN,0,1,GIVENS
DIVORCED,NY,0,4,3850,9850,6,1,66502,CU4702,F,Homemaker,900,NorthEast,1,1500,Yes,1,3,46,54.08,16225.5,1008,4,25,5,MEDIUM,NIEVES,1,1,PEDERSEN
MARRIED,NY,101297,1,5500,24700,1,0,65362,CU4744,F,Software Engineer,900,NorthEast,1,3800,Yes,2,2,43,57.37,29140.5,103646,7,25,6,HIGH,AUBREY,1,1,DOUGLAS
DIVORCED,MI,0,3,3000,2800,3,0,68419,CU4775,M,PROF-18,900,Midwest,1,3000,No,3,0,28,53.27,25404.75,3382,1,25,3,HIGH,ANTIONE,1,1,VALENCIA
DIVORCED,MI,0,3,2700,2450,3,1,62196,CU4803,M,IT Staff,1500,Midwest,1,300,Yes,2,3,31,53.37,19149,582,1,37,3,MEDIUM,TUAN,1,1,HODGES
DIVORCED,NY,0,1,2200,3858,1,0,63370,CU4833,M,Not specified,1400,NorthEast,1,858,Yes,6,3,52,54.15,29542.5,1074,1,25,5,HIGH,RENATO,1,1,STEARNS
MARRIED,MI,0,1,6000,4201,1,1,65365,CU4866,F,IT Staff,1100,Midwest,2,1,No,4,3,35,53.78,33341.25,6425,1,33,4,VERY HIGH,LAQUANDA,2,1,HULL
DIVORCED,MI,0,3,2000,3150,3,1,56647,CU4896,M,Truck Driver,1500,Midwest,1,750,No,17,3,29,54.26,17561.75,2566,1,25,5,MEDIUM,DELMAR,1,1,ELDRIDGE
SINGLE,MI,0,4,600,1070,3,1,58278,CU4917,M,PROF-6,900,Midwest,1,600,Yes,2,9,51,54.27,20669.5,1038,3,25,5,MEDIUM,LIONEL,1,1,DRISCOLL
MARRIED,MI,0,3,1236,0,3,0,73906,CU4945,M,Homemaker,1500,Midwest,1,1236,No,5,0,29,53.09,26876.5,725,2,218,1,HIGH,TOBY,1,1,BAILEY
DIVORCED,NY,0,1,2600,3500,1,1,63970,CU4985,F,Professor,800,NorthEast,1,1500,No,2,6,46,54.02,24092.5,2870,2,1436,5,HIGH,JOANNA,1,1,BYRNE
DIVORCED,NY,0,2,4700,0,2,1,82696,CU5015,F,IT Staff,3500,NorthEast,1,4700,No,1,0,44,53.08,27074,823,1,25,1,HIGH,ROXANA,1,1,IRWIN
MARRIED,MI,0,3,1150,900,3,1,60186,CU5045,M,Bank Teller,500,Midwest,1,1150,Yes,2,0,28,53.23,18346.5,3045,3,2441,3,MEDIUM,CLIFTON,1,1,BATEMAN
SINGLE,NY,0,2,0,0,0,1,61060,CU5118,M,Administrative Assistant,900,NorthEast,0,0,No,0,0,58,53.06,17065,504,1,25,0,MEDIUM,HERIBERTO,0,1,WHITE
MARRIED,CA,0,1,840,0,1,1,64189,CU5146,M,Medical Doctor,1500,West,2,840,No,0,0,37,53.06,33247.25,0,1,25,0,VERY HIGH,LEN,2,1,WILLEY
MARRIED,OK,0,5,1000,0,5,0,71374,CU14711,F,Programmer/Developer,1000,Midwest,1,1000,No,7,1,25,53.14,22843.5,1262,1,25,2,HIGH,EURA,1,1,BRYSON
SINGLE,UT,0,3,0,0,3,0,63476,CU15980,M,Programmer/Developer,1500,Southwest,0,0,No,2,5,20,53.04,13369,0,0,25,2,LOW,STEVIE,0,0,LOWERY
DIVORCED,MI,0,1,2500,5800,1,1,61715,CU4811,M,Cashier,1000,Midwest,1,1000,Yes,4,3,31,56.97,22028.75,3677,1,25,6,HIGH,ARNOLD,1,1,PUCKETT
MARRIED,NY,0,3,700,650,3,0,54926,CU15737,M,Dentist,1500,NorthEast,1,700,No,18,4,21,53.54,21331.5,172,2,127,4,MEDIUM,DWAIN,1,1,AGUILERA
SINGLE,NY,0,3,0,0,3,0,57742,CU15738,M,PROF-38,1500,NorthEast,0,0,No,1,4,19,53.06,11835.5,0,0,25,0,LOW,HASSAN,0,0,GANT
SINGLE,IL,0,3,0,0,3,0,65618,CU15740,M,Programmer/Developer,1500,Midwest,0,0,No,0,4,23,53.06,14204.5,0,0,25,0,MEDIUM,DANTE,0,0,SCHUMACHER
MARRIED,MI,0,1,750,250,1,0,61649,CU15741,M,Construction Laborer,1500,Midwest,1,750,No,2,4,29,53.08,26812.25,0,2,59,1,HIGH,EARL,1,1,QUINN
SINGLE,NY,0,2,0,0,0,0,84768,CU15742,M,PROF-5,2500,NorthEast,0,0,No,0,4,67,53.06,28892,0,0,25,0,HIGH,LOUIS,0,0,CAMPOS
SINGLE,NY,0,3,0,500,3,0,57833,CU15515,M,Programmer/Developer,1000,NorthEast,0,0,Yes,4,6,20,53.44,11958.25,179,2,25,4,LOW,JOSHUA,0,1,BRANTLEY
SINGLE,UT,0,3,0,250,3,0,56568,CU15966,M,Programmer/Developer,1500,Southwest,0,0,No,3,5,20,52.98,11642,151,2,25,2,LOW,MICHAL,0,1,WILCOX
MARRIED,NY,63,3,1200,750,3,1,58261,CU14048,M,PROF-3,1500,NorthEast,1,1200,No,15,1,33,53.38,18365.25,4364,3,3879,3,MEDIUM,ERIN,1,1,TYSON
MARRIED,NV,0,3,1091,1400,3,0,68632,CU14049,M,Waiter/Waitress,1000,Southwest,1,1091,Yes,10,1,27,53.02,25358,510,3,25,2,HIGH,DALLAS,1,1,MACDONALD
SINGLE,MI,0,4,0,0,0,1,59234,CU14050,M,Administrative Assistant,600,Midwest,0,0,No,5,1,38,52.97,15608.5,1203,0,25,2,MEDIUM,DARIN,0,1,KILGORE
OTHER,TX,0,1,15000,11800,1,1,67748,CU4614,F,Clerical,1600,Southwest,1,5000,No,2,3,37,54.2,24137,4096,2,25,5,HIGH,REINA,1,1,CRISP
SINGLE,MN,0,1,319,0,1,1,57734,CU4615,M,Programmer/Developer,900,West,1,319,No,0,3,27,53.06,20633.5,507,1,25,0,MEDIUM,COLEMAN,1,1,NICHOLSON
MARRIED,NY,0,1,5000,15100,1,1,66366,CU4616,F,IT Staff,900,NorthEast,2,2500,No,8,3,45,53.23,34591.5,4756,5,3983,3,VERY HIGH,MARGE,2,1,ONEILL
WIDOWED,NY,0,4,6000,24100,3,1,68283,CU4617,F,Administrator,1500,NorthEast,1,3700,Yes,4,3,49,55.04,22970.75,11255,5,10180,5,HIGH,MUI,1,1,SILVER
MARRIED,NY,0,1,1708,401,1,1,61987,CU4618,F,Fireman,500,NorthEast,1,1708,No,0,3,29,53.28,21896.75,568,2,25,3,MEDIUM,TONA,1,1,FRANKS
SINGLE,CA,0,2,0,0,0,0,63055,CU4619,M,Construction Laborer,700,West,0,0,No,0,3,39,53.07,20663.75,506,0,25,1,MEDIUM,ANGEL,0,1,MESSER
WIDOWED,DC,0,4,5000,6000,3,1,47436,CU4621,M,DBA,3500,NorthEast,1,1500,No,4,3,50,55.48,17859,16276,2,25,5,MEDIUM,ORVAL,1,1,KELLER
DIVORCED,CA,0,1,2653,3950,1,1,58558,CU4622,F,PROF-40,1500,West,1,750,Yes,2,8,37,54.44,21839.5,2093,1,25,5,MEDIUM,CATHI,1,1,CONNOLLY
SINGLE,MI,0,2,0,1601,0,1,65846,CU4623,M,Administrative Assistant,600,Midwest,0,501,No,5,3,50,53.19,17461.5,1457,3,942,3,MEDIUM,HOSEA,0,1,YEAGER
SINGLE,NY,0,2,0,0,0,0,69333,CU4624,M,Administrative Assistant,900,NorthEast,0,0,No,2,3,52,53.09,23533.25,660,1,156,1,HIGH,MARCELLUS,0,1,MERRILL
DIVORCED,CA,0,2,4000,7750,1,1,62445,CU4626,F,IT Staff,1500,West,1,1300,Yes,5,3,37,54.39,23311.25,1085,1,25,5,HIGH,TIERA,1,1,SCHAFER
SINGLE,NY,0,2,0,0,0,0,67137,CU4627,M,PROF-34,600,NorthEast,0,0,No,1,3,38,53.07,21584.25,506,1,25,1,MEDIUM,ADOLPH,0,1,WING
MARRIED,MI,0,1,5000,16050,1,1,65823,CU4628,F,IT Staff,500,Midwest,1,2500,Yes,4,3,43,56.78,24255.75,3668,5,25,6,HIGH,JOANA,1,1,THARP
MARRIED,NY,543,4,12000,18000,1,1,70571,CU4630,F,Clerical,900,NorthEast,1,5000,No,1,3,47,53.42,27342.75,6505,5,25,4,HIGH,VERDIE,1,1,AARON
SINGLE,NY,0,1,524,2320,1,1,62631,CU4631,F,PROF-23,600,NorthEast,1,720,Yes,13,3,58,53.71,24957.75,1476,1,25,4,HIGH,SELINA,1,1,POSEY
MARRIED,CA,0,5,5000,15000,1,1,68098,CU4632,M,IT Staff,900,West,1,2500,No,18,10,37,52.92,26224.5,3201,5,25,2,HIGH,GASTON,1,1,BELANGER
MARRIED,MI,0,1,5220,16050,1,1,59043,CU4633,F,Not specified,900,Midwest,1,2500,No,3,3,35,53.38,21760.75,7646,3,7092,3,MEDIUM,MARYANNA,1,1,REDMOND
MARRIED,MI,0,1,1400,1650,1,0,63967,CU4634,F,Construction Laborer,1100,Midwest,1,250,No,15,0,30,53.78,27491.75,852,3,247,4,HIGH,NAOMI,1,1,WYATT
SINGLE,MI,0,2,0,0,0,0,65654,CU4635,M,Homemaker,600,Midwest,0,0,No,0,3,40,53.06,21413.5,506,0,25,0,MEDIUM,BILLY,0,1,DUCKWORTH
DIVORCED,CA,0,3,2120,3023,3,1,66620,CU4347,M,Homemaker,1000,West,2,741,No,2,6,48,53.83,31955,1534,1,1503,4,VERY HIGH,HARLEY,2,1,JONES
MARRIED,TX,0,1,837,750,1,1,59984,CU4348,F,Veterinarian,500,Southwest,1,350,Yes,4,1,28,53.23,21296,813,3,25,3,MEDIUM,REBECCA,1,1,HUGGINS
MARRIED,MI,0,1,8320,11050,1,1,72308,CU8665,F,Dentist,4000,Midwest,1,1700,Yes,14,1,33,53.97,24877,650,4,25,5,HIGH,MARGRET,1,1,RYAN
MARRIED,MI,0,1,1000,0,1,1,64710,CU8666,M,IT Staff,700,Midwest,1,1000,No,4,1,38,53.17,23477.5,383,0,374,2,HIGH,JOAN,1,1,BAUER
OTHER,NY,0,5,15000,8300,5,1,84318,CU1889,F,IT Staff,4000,NorthEast,1,2700,Yes,2,2,29,57.44,21479.5,5322,4,25,6,MEDIUM,LELA,1,1,BURNETT
SINGLE,NY,0,2,0,0,0,0,55169,CU1890,M,Medical Doctor,2500,NorthEast,0,0,No,0,2,42,53.06,18992.25,0,0,25,0,MEDIUM,OLIN,0,0,HYMAN
DIVORCED,NY,0,2,2000,0,0,0,68002,CU1891,M,PROF-3,1500,NorthEast,1,2000,No,1,2,29,53.07,30900.5,549,1,25,1,VERY HIGH,EARL,1,1,SYLVESTER
SINGLE,NY,0,3,0,201,3,1,60602,CU1894,M,Bank Teller,1000,NorthEast,0,0,No,3,10,30,53.47,8650.5,5760,1,5065,4,LOW,BRET,0,1,MAYBERRY
DIVORCED,MS,33891,1,4000,8600,1,1,61257,CU1895,F,Software Engineer,1300,South,1,2000,Yes,4,1,53,55.75,24114.25,35532,4,25,6,HIGH,NAKITA,1,1,RAMOS
DIVORCED,NY,0,3,2000,4250,3,1,71363,CU1896,M,PROF-11,1500,NorthEast,1,600,No,4,2,32,53.2,21540.75,811,1,25,3,MEDIUM,CRUZ,1,1,CHAMBERLAIN
SINGLE,CA,0,2,0,2620,0,0,64122,CU1897,M,Software Engineer,1000,West,0,720,Yes,1,2,0,53.54,0,887,1,25,4,LOW,KIM,0,1,MUNIZ
DIVORCED,MS,5056,1,2850,7000,1,1,64671,CU1899,F,Dentist,500,South,1,2000,No,2,2,45,55.43,24167.75,6690,4,202,5,HIGH,EUSTOLIA,1,1,SCHREIBER
