"CUSTOMER_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","CREDIT_BALANCE","BANK_FUNDS","CHECKING_AMOUNT","MONEY_MONTLY_OVERDRAWN","T_AMOUNT_AUTOM_PAYMENTS","MONTHLY_CHECKS_WRITTEN","MORTGAGE_AMOUNT","N_TRANS_ATM","N_MORTGAGES","N_TRANS_TELLER","CREDIT_CARD_LIMITS","N_TRANS_KIOSK","N_TRANS_WEB_BANK","LTV","LTV_BIN"
"CU1069","THURMAN","VAUGHAN","MN","West","M","PROF-15","No",80,1,63067,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,1,1400,0,0,19766.75,"MEDIUM"
"CU13543","DARYL","ADDISON","WA","West","F","PROF-39","No",52,1,73090,5,1,2,5,"DIVORCED",0,1750,25,53.33,249,10,2728,3,2,3,1500,1,2728,30972.5,"VERY HIGH"
"CU11717","LAVETA","CASEY","NY","NorthEast","F","Publisher","No",31,0,71782,5,1,1,5,"DIVORCED",0,0,34,53.02,0,0,2200,2,1,1,1500,1,2200,23545.5,"HIGH"
"CU5928","ROBERTO","CORNELIUS","NY","NorthEast","M","Childcare Worker","No",44,1,61056,1,1,1,1,"DIVORCED",0,0,461,53.15,965,0,2200,2,1,1,1000,0,2200,23164,"HIGH"
"CU10012","DORSEY","PRIEST","NM","Southwest","M","Cashier","No",52,0,59480,3,1,1,4,"MARRIED",0,0,25,53.06,0,0,1001,0,1,0,700,1,1001,26070,"HIGH"
"CU197","ENRIQUE","BARRIOS","MI","Midwest","M","Nurse","No",77,0,73461,0,1,0,2,"SINGLE",0,0,25,53.06,598,0,0,0,0,0,2500,0,0,27065.25,"HIGH"
"CU476","CHONG","CROWDER","CA","West","M","Administrative Assistant","No",69,1,61943,0,1,1,2,"MARRIED",0,0,1466,53.12,1971,0,909,2,1,1,600,0,909,28385.75,"HIGH"
"CU9110","JOHN","CLARK","DC","NorthEast","M","Administrative Assistant","No",46,1,64648,0,1,1,2,"DIVORCED",0,0,25,53.06,0,0,2500,0,1,1,800,1,2500,26762,"HIGH"
"CU7291","LAUREN","LAYNE","MI","Midwest","M","Nurse","No",42,1,58327,0,1,0,4,"SINGLE",0,5100,1926,53.45,2570,4,0,4,0,2,800,1,1500,15781.75,"MEDIUM"
"CU7148","VINCENT","COBB","OK","Midwest","M","Programmer/Developer","No",28,0,60968,2,1,1,2,"MARRIED",0,750,206,53,725,3,700,2,1,3,900,1,700,25042,"HIGH"
"CU9648","FRANKLIN","ADLER","FL","South","M","Programmer/Developer","No",34,1,66717,3,1,1,3,"SINGLE",0,0,25,53.3,0,5,400,3,1,1,700,1,400,20579.25,"MEDIUM"
"CU1055","OLIVER","ESTRADA","NY","NorthEast","M","Clerical","No",36,1,65837,3,1,1,3,"DIVORCED",0,0,91,53.36,618,13,2500,3,1,1,900,0,2500,20559.25,"MEDIUM"
"CU749","NATACHA","KILGORE","CA","West","F","Homemaker","No",71,1,94589,1,1,1,1,"OTHER",12214,24500,427,54.13,52378,3,38974,5,1,5,5000,0,3500,34247.25,"VERY HIGH"
"CU12581","SAMARA","KIMBLE","NY","NorthEast","F","Programmer/Developer","No",21,1,71368,5,1,1,5,"MARRIED",0,1200,25,53.03,683,4,800,2,1,3,1000,1,200,17442,"MEDIUM"
"CU1731","ANASTASIA","FISCHER","IL","Midwest","F","Clerical","No",49,1,56506,1,1,1,1,"WIDOWED",0,24000,13125,54.35,46108,3,5000,5,1,4,1800,2,4000,22526.5,"HIGH"
"CU1881","WILLARD","WEEKS","AK","West","M","Medical Doctor","No",37,0,71142,5,1,1,5,"MARRIED",0,0,25,55.53,532,1,6755,6,1,1,1500,2,6755,23985.5,"HIGH"
"CU400","EZEKIEL","HARGROVE","CA","West","M","Nurse","No",52,1,60752,0,1,0,2,"SINGLE",0,3333,11301,54.83,14559,4,0,5,0,1,700,10,1333,16388,"MEDIUM"
"CU4172","SAMMY","KANG","NY","NorthEast","F","Administrative Assistant","No",48,1,75114,1,1,1,1,"MARRIED",0,401,1388,53.09,1899,2,1000,1,1,2,1600,2,1000,27078.5,"HIGH"
"CU10006","GREGORIO","LAWRENCE","NV","Southwest","M","Lab Technician","No",30,0,60554,3,1,1,3,"DIVORCED",0,0,25,53.06,0,0,2000,0,1,1,1000,1,2000,23638.5,"HIGH"
"CU15957","LAVERN","DODGE","UT","Southwest","M","PROF-3","No",34,0,51837,1,1,1,1,"MARRIED",0,0,25,53.29,0,12,5000,3,1,0,4000,5,5000,24859.25,"HIGH"
"CU10540","WILBER","ANDERSON","NY","NorthEast","M","Nurse","No",33,0,58408,0,0,0,2,"SINGLE",0,0,25,53.06,0,0,0,0,0,0,1500,1,0,18902,"MEDIUM"
"CU11020","ASA","LEAVITT","NY","NorthEast","M","PROF-42","No",37,0,72865,1,1,1,1,"DIVORCED",0,0,223,53.04,507,2,2151,2,1,1,1500,3,2151,30416.25,"VERY HIGH"
"CU3091","VAN","LAMB","NY","NorthEast","M","Publisher","No",25,1,65594,3,1,1,3,"DIVORCED",0,0,25,54.24,510,1,2700,5,1,1,900,2,2700,19398.5,"MEDIUM"
"CU4994","ROLANDA","WAGNER","NY","NorthEast","F","Lab Technician","No",42,1,63640,1,1,1,1,"MARRIED",0,4000,2908,53.95,5674,2,5600,4,1,1,1000,0,1000,23610,"HIGH"
"CU11201","FREDRIC","WARDEN","WA","West","M","PROF-28","No",38,0,64207,4,1,1,4,"SINGLE",0,201,25,53.07,0,0,474,1,1,1,600,1,474,23851.75,"HIGH"
"CU11171","MARIO","CUTLER","NY","NorthEast","M","First-line Manager","No",0,0,63465,3,1,1,3,"MARRIED",0,0,25,53.06,0,0,1050,0,1,0,1000,1,1050,0,"LOW"
"CU1245","MARIETTA","BINGHAM","CA","West","F","Law Enforcement Officer","No",58,1,91279,1,1,1,1,"WIDOWED",0,14001,570,53.7,1101,4,5000,4,1,5,3000,0,1,32119.75,"VERY HIGH"
"CU15866","MEL","YANCEY","UT","Southwest","M","Professor","No",22,0,58193,1,1,1,1,"MARRIED",0,250,25,53.06,0,2,960,0,1,2,1500,5,960,25248.25,"HIGH"
"CU14631","TANDRA","BALLARD","FL","South","F","Programmer/Developer","No",28,0,57902,1,1,0,1,"SINGLE",0,500,429,53.13,451,4,0,2,0,2,1000,1,0,15775.5,"MEDIUM"
"CU8908","ABRAHAM","PRATT","NY","NorthEast","M","PROF-18","No",21,0,63625,0,1,0,2,"SINGLE",0,0,25,53.08,161,3,0,1,0,0,1000,1,0,19006.25,"MEDIUM"
"CU929","BEAU","MCKINNON","MI","Midwest","M","Homemaker","No",60,0,59463,1,1,1,4,"DIVORCED",0,0,25,53.06,507,0,2702,0,1,1,1300,0,2702,30865.75,"VERY HIGH"
"CU11849","JOSH","FOX","NY","NorthEast","M","Sales Representative","No",28,1,68889,3,1,1,3,"MARRIED",0,0,1962,53.24,2024,8,700,3,1,1,1000,4,700,20522.25,"MEDIUM"
"CU12777","RAYMUNDO","COYLE","CA","West","M","Programmer/Developer","No",29,1,69382,3,1,0,3,"SINGLE",0,550,25,53.02,935,8,0,2,0,2,1000,1,0,10745.5,"LOW"
"CU6027","DANILO","BARAJAS","CA","West","M","Accountant","No",77,1,62253,4,1,1,4,"MARRIED",0,0,25,53.06,504,0,800,0,1,0,800,1,800,22263.25,"HIGH"
"CU672","MARCO","NORTON","NC","South","M","Waiter/Waitress","No",26,1,57724,3,1,2,3,"MARRIED",0,1600,207,53.24,246,9,980,3,2,1,1000,0,980,27531,"HIGH"
"CU4165","DARRICK","MICHAEL","MI","Midwest","M","Author","No",35,0,64671,0,1,0,2,"SINGLE",0,0,25,53.06,507,0,0,0,0,1,1300,3,0,20667.75,"MEDIUM"
"CU11854","GRANVILLE","BECK","MI","Midwest","M","Programmer/Developer","No",21,0,59210,3,1,1,3,"MARRIED",0,750,25,53.05,0,2,1000,2,1,3,1000,4,1000,22402.5,"HIGH"
"CU1832","ISELA","SHOEMAKER","CA","West","F","Not specified","No",50,1,74752,3,1,1,4,"WIDOWED",0,19500,25,54.25,2914,3,10000,5,1,2,1300,2,3500,24688,"HIGH"
"CU12518","AMOS","EASLEY","NY","NorthEast","M","Programmer/Developer","No",22,0,69229,3,1,0,3,"SINGLE",0,500,98,53.05,106,7,0,2,0,2,1000,1,0,15007.25,"MEDIUM"
"CU10801","ROB","KOEHLER","CA","West","M","Waiter/Waitress","No",22,0,70065,4,1,1,4,"SINGLE",0,350,25,53.22,0,3,300,3,1,2,1500,1,300,23716.25,"HIGH"
"CU8880","MOSE","MAHONEY","CA","West","M","Waiter/Waitress","No",34,0,72354,2,1,0,2,"SINGLE",0,0,159,52.81,168,0,0,2,0,0,1500,1,0,18488.5,"MEDIUM"
"CU1745","JACKIE","HIGHTOWER","NY","NorthEast","M","Bank Teller","No",32,1,64905,0,1,0,2,"SINGLE",0,0,25,53.07,605,1,0,1,0,0,900,0,0,15426.25,"MEDIUM"
"CU6439","DONALD","MICHAEL","CA","West","M","Nurse","No",59,1,66001,0,1,0,2,"SINGLE",0,0,25,53.69,2254,3,0,4,0,1,900,10,0,18400.25,"MEDIUM"
"CU6117","BERNADINE","PRITCHETT","NY","NorthEast","F","Author","No",0,1,52067,5,1,1,5,"MARRIED",0,2250,18683,54.12,20571,2,1500,5,1,4,2400,0,750,0,"LOW"
"CU15015","RANDOLPH","MCMANUS","NY","NorthEast","M","PROF-18","No",39,0,56610,2,1,1,2,"DIVORCED",0,0,25,53.06,0,0,4000,0,1,0,2000,1,4000,25052.5,"HIGH"
"CU9590","WILBER","EMERY","NY","NorthEast","M","PROF-17","No",24,1,71649,3,1,0,3,"SINGLE",0,650,595,53.74,603,1,0,4,0,2,1500,1,0,10812.25,"LOW"
"CU2507","RUSTY","HILLMAN","CA","West","M","Administrative Assistant","No",0,0,67082,0,1,0,2,"SINGLE",0,28300,1185,53.18,1693,1,0,3,0,6,900,2,5000,0,"LOW"
"CU13551","BRANDON","FOSS","FL","South","M","Programmer/Developer","No",21,0,71809,3,0,0,3,"SINGLE",0,250,25,53.05,0,4,0,2,0,2,1000,1,0,15552.25,"MEDIUM"
"CU7788","BRYAN","GARCIA","MI","Midwest","M","PROF-12","No",22,0,64703,3,1,1,3,"SINGLE",0,0,25,53.06,0,1,250,0,1,0,1000,1,250,23875.75,"HIGH"
"CU12361","OMER","STOCKTON","MI","Midwest","M","Bank Teller","No",62,1,64441,3,1,1,3,"MARRIED",6611,251,25,53.36,8314,14,913,3,1,2,700,4,913,22810.25,"HIGH"
"CU10508","LEANDRO","ALONSO","FL","South","M","Clerical","No",62,0,64900,4,1,1,4,"MARRIED",0,0,25,53.06,0,1,1000,0,1,1,1000,1,1000,26425,"HIGH"
"CU14309","ALONSO","MCDERMOTT","OH","Midwest","M","PROF-6","No",19,0,61500,3,1,1,3,"MARRIED",0,0,25,53.06,0,0,1200,0,1,0,2500,1,1200,22775,"HIGH"
"CU5679","LUPE","FARRELL","CA","West","M","Professor","No",61,1,60946,0,1,0,2,"SINGLE",586,1100,431,53.13,1566,3,0,2,0,6,1000,0,0,17336.5,"MEDIUM"
"CU15979","RAY","SNODGRASS","UT","Southwest","M","Mason","No",19,0,59864,3,1,1,3,"MARRIED",0,0,25,53.01,0,4,850,2,1,0,1500,5,850,22366,"HIGH"
"CU12527","MIRNA","WAITE","NY","NorthEast","F","IT Staff","No",39,1,64553,1,1,1,1,"DIVORCED",0,0,25,53.48,903,14,3500,4,1,1,1000,1,3500,23538.25,"HIGH"
"CU1140","ANDY","COOK","CA","West","M","PROF-18","No",27,0,65736,1,1,0,1,"SINGLE",0,0,25,53.07,798,0,0,1,0,0,900,0,0,17634,"MEDIUM"
"CU6871","KATHYRN","PICKETT","CA","West","F","Author","No",61,1,56137,3,1,1,4,"MARRIED",0,0,25,53.14,1645,4,1100,2,1,1,1500,1,1100,21134.25,"MEDIUM"
"CU3070","ROBERTO","PATTEN","WA","West","M","Truck Driver","No",33,1,61789,0,1,1,2,"DIVORCED",0,10300,11174,54.36,12132,3,3000,5,1,4,1300,3,2400,24747.25,"HIGH"
"CU2941","VAL","HACKETT","CA","West","M","IT Staff","No",63,0,59461,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,0,900,2,0,22165.25,"HIGH"
"CU11032","ELVIS","HULL","MN","West","M","Software Engineer","No",31,1,62658,4,1,0,4,"DIVORCED",0,9000,8493,53.81,9718,4,0,4,0,4,500,1,1500,7764.5,"LOW"
"CU3996","SEAN","DOWNING","CA","West","M","Bank Teller","No",42,1,57616,0,1,1,2,"MARRIED",3425,2877,25,53.41,5183,1,900,4,1,1,900,3,477,24604,"HIGH"
"CU3065","RISA","TUCKER","NY","NorthEast","F","PROF-1","No",53,1,66372,1,1,1,1,"DIVORCED",0,6282,14522,53.8,15036,12,2300,4,1,6,1300,2,1495,25393,"HIGH"
"CU15033","MARC","HARRIS","WI","Midwest","M","Programmer/Developer","No",19,1,57064,3,1,0,3,"SINGLE",0,700,25,53.1,185,7,0,2,0,3,1000,1,0,6666,"LOW"
"CU11319","ANDREW","DUFFY","CA","West","M","PROF-18","No",20,0,75031,3,0,0,3,"SINGLE",0,0,25,53.05,0,0,0,2,0,0,1500,1,0,16257.75,"MEDIUM"
"CU15694","SHAY","FARRELL","NY","NorthEast","F","PROF-1","No",32,1,60073,4,1,1,4,"DIVORCED",0,0,25,54.28,0,2,2380,5,1,1,1500,4,2380,17218.25,"MEDIUM"
"CU14045","GENNY","VALENZUELA","CA","West","F","Truck Driver","No",50,0,71214,1,1,1,1,"MARRIED",0,450,170,53.2,1159,18,1000,3,1,2,1000,1,1000,31303.5,"VERY HIGH"
"CU2088","DOMENIC","MIXON","NY","NorthEast","M","PROF-57","No",27,0,61807,0,1,0,2,"SINGLE",0,0,25,53.06,506,0,0,0,0,0,500,2,0,19151.75,"MEDIUM"
"CU14690","THEA","KELSEY","MI","Midwest","F","Programmer/Developer","No",39,0,63272,5,1,0,5,"SINGLE",0,0,25,52.94,360,2,0,2,0,1,700,1,0,12218,"LOW"
"CU3486","LAVETA","ALSTON","CA","West","F","Cashier","No",48,1,70243,1,1,1,1,"DIVORCED",0,3550,1947,53.69,3040,17,2200,4,1,2,1700,4,650,25860.75,"HIGH"
"CU2417","ALEX","BEAL","NY","NorthEast","M","Sales Representative","No",27,0,64964,0,1,0,2,"SINGLE",963,1156,2420,53.15,4276,4,0,2,0,3,1000,2,506,19941,"MEDIUM"
"CU4125","CLEMENTE","CLOUTIER","OR","West","M","Administrator","No",42,1,68407,1,1,0,1,"SINGLE",0,13602,23324,54.07,24350,2,0,5,0,5,1000,3,4352,14801.75,"MEDIUM"
"CU5600","SANG","DUTTON","MI","Midwest","F","Clerical","No",61,0,94542,2,1,1,2,"WIDOWED",0,1501,373,53.54,1470,11,5000,4,1,3,4000,0,5000,36735.5,"VERY HIGH"
"CU15532","TYLER","BURDICK","NY","NorthEast","M","Homemaker","No",35,0,61148,3,1,1,4,"DIVORCED",7357,2400,25,54.32,7939,4,3000,5,1,1,1500,4,300,24787,"HIGH"
"CU15782","NELLIE","MOHR","CA","West","F","Administrator","No",49,0,86041,1,1,1,1,"DIVORCED",0,1000,25,53.06,0,0,2000,0,1,3,2500,5,2000,34910.25,"VERY HIGH"
"CU11615","DEMETRICE","PEREZ","NY","NorthEast","F","Programmer/Developer","No",21,1,63248,5,1,1,5,"SINGLE",0,500,25,53.12,214,4,450,2,1,2,1000,2,450,15412,"MEDIUM"
"CU6097","OMER","YORK","CA","West","M","Author","No",62,0,59990,3,1,0,3,"SINGLE",0,0,25,53.11,1080,1,0,2,0,0,700,0,0,16697.5,"MEDIUM"
"CU8359","WILLY","BYRNE","NY","NorthEast","M","Technical Writer","No",39,1,56237,3,1,1,3,"DIVORCED",1896,1200,1820,53.15,3783,3,2000,2,1,3,1500,3,2000,18459.25,"MEDIUM"
"CU5511","ORLANDO","GUNTER","NY","NorthEast","M","IT Staff","No",45,1,76355,1,1,1,1,"DIVORCED",0,2900,25,53.33,849,4,2000,3,1,5,1500,0,500,27088.75,"HIGH"
"CU847","EMILIO","SHIPP","NY","NorthEast","M","PROF-61","No",46,1,59581,0,1,0,2,"SINGLE",98076,7644,25,57.84,98590,2,0,6,0,1,600,0,3322,15495.25,"MEDIUM"
"CU13966","WALLACE","MEREDITH","CA","West","M","Nurse","No",40,0,59743,1,1,1,1,"SINGLE",0,0,25,53.07,0,3,330,1,1,0,600,1,330,27435.75,"HIGH"
"CU11048","ARLINE","ALTMAN","NY","NorthEast","F","IT Staff","No",52,1,65179,1,1,1,1,"DIVORCED",0,0,25,53.15,0,3,4000,2,1,0,800,2,4000,24994.75,"HIGH"
"CU12283","COLLEEN","YEAGER","CA","West","F","PROF-21","No",44,1,79782,1,1,1,1,"MARRIED",0,600,25,53.42,566,12,1055,4,1,2,2500,4,1055,27845.5,"HIGH"
"CU34","CARMELIA","SIMMONS","MI","Midwest","F","Law Enforcement Officer","No",84,1,61090,1,1,1,1,"WIDOWED",0,11500,141,53.6,1581,10,10000,4,1,6,1200,0,10000,27172.5,"HIGH"
"CU8014","ELLIOTT","MADDOX","CA","West","M","Programmer/Developer","No",21,0,69368,3,1,1,3,"MARRIED",0,251,2289,53.1,2425,11,700,2,1,2,1000,3,700,24942,"HIGH"
"CU13411","BOOKER","BEAN","MI","Midwest","M","PROF-22","No",30,0,61659,3,1,1,3,"SINGLE",0,0,25,53.07,0,0,224,1,1,0,1000,1,224,23914.75,"HIGH"
"CU14768","CORNELIUS","SIMON","FL","South","M","Programmer/Developer","No",31,0,66738,3,0,0,3,"SINGLE",0,250,25,53.06,0,0,0,0,0,2,600,1,0,15284.5,"MEDIUM"
"CU9789","LINDSY","VICK","NY","NorthEast","F","PROF-58","No",55,0,65584,1,1,1,4,"WIDOWED",52123,22001,25,57.88,107253,2,6000,6,1,1,800,1,1,31896,"VERY HIGH"
"CU2144","DOMINGO","STEVENS","NY","NorthEast","M","PROF-24","No",31,0,58490,0,1,0,2,"SINGLE",0,0,25,53.06,506,0,0,0,0,1,900,2,0,18722.5,"MEDIUM"
"CU4291","IRVING","LOVETT","FL","South","M","Waiter/Waitress","No",30,1,66079,1,1,2,4,"DIVORCED",0,0,189,53.4,232,9,4800,4,2,1,500,3,4800,34519.75,"VERY HIGH"
"CU2654","HUBERT","COYLE","NY","NorthEast","M","IT Staff","No",61,1,65727,0,1,1,2,"MARRIED",0,0,25,53.06,511,0,727,0,1,1,800,2,727,28531.75,"HIGH"
"CU15784","CALVIN","BURTON","NY","NorthEast","M","Clerical","No",42,1,63277,1,1,0,1,"SINGLE",0,8500,11998,53.63,12812,3,0,4,0,4,600,5,2000,13519.25,"LOW"
"CU654","SHEILAH","COMBS","NV","Southwest","F","Publisher","No",37,1,61816,1,1,1,1,"MARRIED",0,6200,136,54.04,655,1,8000,5,1,4,500,0,900,22654,"HIGH"
"CU12127","MAYBELL","CARTER","TX","Southwest","F","Homemaker","No",29,1,63137,6,1,1,4,"MARRIED",0,3600,1532,54.03,1800,12,6000,5,1,1,5000,4,6000,13684.25,"LOW"
"CU2966","BOYD","SHOCKLEY","NY","NorthEast","M","Administrative Assistant","No",21,0,63968,0,1,0,2,"SINGLE",0,0,25,53.09,599,4,0,1,0,0,500,2,0,19092,"MEDIUM"
"CU11392","SOL","SCHMIDT","DC","NorthEast","M","Truck Driver","No",23,0,60915,3,1,1,3,"DIVORCED",0,0,25,53.41,111,13,2200,4,1,0,1500,3,2200,23028.75,"HIGH"
"CU11983","RENE","CHASTAIN","NY","NorthEast","M","PROF-29","No",18,0,63963,3,1,1,3,"SINGLE",0,0,25,53.06,0,0,200,0,1,0,1000,4,200,23290.75,"HIGH"
"CU6028","LAVERNA","SCHMITZ","NY","NorthEast","F","IT Staff","No",38,1,58770,3,1,1,4,"DIVORCED",23030,2200,996,53.7,24614,0,3000,4,1,1,1300,1,3000,19492.5,"MEDIUM"
"CU13388","LEIF","ARNOLD","MI","Midwest","M","PROF-2","No",70,0,54484,2,1,0,2,"SINGLE",0,0,25,53.33,1632,0,0,3,0,0,2500,1,0,17621,"MEDIUM"
"CU13386","ALVA","VERNON","OK","Midwest","M","PROF-18","No",24,0,57132,3,1,1,3,"DIVORCED",0,1850,270,53.82,313,9,3000,4,1,1,2500,1,450,22183,"HIGH"
"CU6607","HECTOR","SUMMERS","MI","Midwest","M","Veterinarian","No",30,1,61221,3,1,1,3,"MARRIED",0,1450,1241,53.87,2131,2,980,4,1,3,500,1,250,18805.25,"MEDIUM"
"CU7331","PATRICK","GARRETT","CA","West","M","PROF-46","No",43,0,69099,0,1,0,2,"SINGLE",0,0,25,53.11,1707,4,0,2,0,1,800,1,0,22574.75,"HIGH"
"CU2624","CAITLYN","LOVE","NY","NorthEast","F","Clerical","No",27,1,68069,5,1,1,5,"MARRIED",2178,8850,13091,53.84,16470,4,5000,4,1,2,3000,2,1500,17217.25,"MEDIUM"
"CU6389","TOMMIE","RANGEL","CA","West","M","Accountant","No",46,1,62163,0,1,0,2,"SINGLE",0,0,25,53.12,636,4,0,2,0,0,500,0,0,16140.75,"MEDIUM"
"CU100","RANDELL","POLLOCK","MI","Midwest","M","Not specified","No",43,1,58365,0,1,1,2,"DIVORCED",0,0,7863,53.36,8628,2,2000,3,1,0,1000,0,2000,24891.25,"HIGH"
"CU8653","BRODERICK","FULTON","NV","Southwest","M","Truck Driver","No",33,1,61753,3,1,1,3,"MARRIED",0,0,25,53.06,0,0,1000,0,1,0,700,1,1000,19238.25,"MEDIUM"
"CU2639","CHARLIE","ENGEL","MI","Midwest","M","Administrative Assistant","No",40,0,62391,0,1,0,2,"SINGLE",0,0,25,54.93,2463,3,0,5,0,1,700,9,0,20597.75,"MEDIUM"
"CU1330","TERENCE","ELMORE","MI","Midwest","M","Truck Driver","No",53,0,63012,1,1,0,1,"SINGLE",0,7662,25,53.82,1745,4,0,4,0,2,700,2,2662,19553,"MEDIUM"
"CU6308","HANNA","WILKINSON","NY","NorthEast","F","PROF-55","No",47,1,109943,3,1,1,4,"MARRIED",0,8400,25,53.46,2786,3,7000,4,1,4,5000,8,3000,33185.75,"VERY HIGH"
"CU15141","LAURYN","WATERMAN","NY","NorthEast","F","Clerical","No",43,0,63642,4,1,1,4,"DIVORCED",0,2700,25,43.91,2690,1,2500,2,1,1,1500,4,2500,24210.5,"HIGH"
"CU15960","GERARDO","SHERRILL","UT","Southwest","M","PROF-28","No",41,0,61708,4,1,1,4,"SINGLE",0,0,25,53.06,0,1,250,0,1,0,2500,5,250,23527,"HIGH"
"CU2806","ALONSO","GEIGER","MI","Midwest","M","PROF-55","No",45,0,66820,1,1,1,2,"DIVORCED",0,0,25,53.12,702,2,2000,2,1,0,500,2,2000,30205,"VERY HIGH"
"CU7171","RUSS","TOBIN","NY","NorthEast","M","Nurse","No",74,0,68242,1,1,0,1,"SINGLE",0,0,25,53.07,513,1,0,1,0,0,2500,1,0,22960.5,"HIGH"
"CU11941","MIQUEL","LONDON","NV","Southwest","M","Programmer/Developer","No",27,1,58238,3,1,0,3,"SINGLE",0,0,25,53.03,990,1,0,2,0,1,1000,4,0,7759.5,"LOW"
"CU165","DUDLEY","GUERRA","CA","West","M","PROF-48","No",32,1,60163,0,1,0,2,"SINGLE",0,2452,4451,53.43,4963,4,0,4,0,1,500,0,552,14240.75,"MEDIUM"
"CU8559","VENUS","SCHMIDT","NY","NorthEast","F","Construction Laborer","No",46,0,69353,1,1,1,1,"MARRIED",0,0,1151,53.1,1661,4,700,2,1,2,800,1,700,30438.25,"VERY HIGH"
"CU12595","MATILDA","VELASQUEZ","NY","NorthEast","F","Technical Writer","No",31,1,54661,1,1,1,1,"DIVORCED",0,2700,5642,53.31,5662,4,4750,3,1,2,3000,1,500,20265.25,"MEDIUM"
"CU4385","DOYLE","BREWSTER","CA","West","M","Fireman","No",46,0,63666,1,1,1,1,"SINGLE",0,0,129,53.08,638,7,500,1,1,0,500,3,500,29016.5,"HIGH"
"CU5852","MAN","BURKETT","NY","NorthEast","M","Administrative Assistant","No",41,1,59849,0,1,0,2,"SINGLE",0,0,3682,53.33,4336,1,0,3,0,0,800,0,0,15062.25,"MEDIUM"
"CU5859","JAMEL","KIRKPATRICK","MI","Midwest","M","PROF-3","No",24,0,70245,3,1,1,3,"SINGLE",0,0,25,53.06,508,0,200,0,1,1,900,0,200,25461.25,"HIGH"
"CU1891","EARL","SYLVESTER","NY","NorthEast","M","PROF-3","No",29,0,68002,0,1,1,2,"DIVORCED",0,0,25,53.07,549,1,2000,1,1,1,1500,2,2000,30900.5,"VERY HIGH"
"CU3889","DOLLY","REAVES","MI","Midwest","F","Plumber","No",36,1,66712,1,1,1,1,"DIVORCED",0,0,25,53.06,506,0,2000,0,1,1,500,3,2000,23778,"HIGH"
