"PHONE","ZIP","MOUMO","MOUPMO","MOU3MO","MOUCH1M","MOUCH3M","CUM3MCH","CUSTMOS","LONGD","CALLW","LINES","VOICEM","CELL","CONVB","SEX","INCOME","SPORTS","NATURE","ARTS","HRS_TV","TRAVEL","EDUC","TARGET","TOTMOU","TOTCHNG","CUST_ID"
"276-987-5678","45987",600,5673,3456,8745,2217,10962,13,0,1,1,1,0,"Yes","M",34000,"A",1,"N",0,"International","Masters",1,9729,10962,14
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,15
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,16
"603-595-1865","21750",678,55,598,623,-543,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,1331,80,17
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,18
"214-455-0034","36785",97,56,5,41,51,92,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,158,92,19
"276-987-3078","45987",45,223,66,-178,157,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,334,-21,20
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,21
"617-555-1005","10040",100,2,0,98,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,22
"603-595-8711","21750",5,7,75,-2,-68,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,87,-70,23
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,24
"276-987-3478","45987",999,20,50,979,-30,949,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,1069,949,25
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",1,2748,60,26
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,27
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,28
"415-987-8787","55166",5,100,500,-95,-400,-495,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","PhD",0,605,-495,29
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,30
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,31
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,32
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,3344,-146,33
"603-595-1115","21750",500,2,1,498,1,499,23,0,0,1,0,0,"Yes","M",80000,"C",0,"Y",50,"International","High School",1,503,499,34
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,35
"214-455-3346","36785",555,7654,8732,-7099,-1078,-8177,27,1,1,2,1,0,"Yes","F",134000,"na",1,"Y",5,"Domestic","PhD",1,16941,-8177,36
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,37
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,38
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,39
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,40
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,41
"214-455-0034","36785",97,5587,4693,-5490,894,-4596,8,0,0,1,0,1,"Yes","M",34005,"na",0,"N",5,"Domestic","PhD",1,10377,-4596,42
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,43
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,44
"617-555-1005","10040",99,2,0,97,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,45
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,46
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,47
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,48
"415-987-1122","15563",10,800,944,-790,-144,-934,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",1,1754,-934,49
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,50
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,51
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,52
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,53
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,54
"415-987-1192","15563",5,15,99,-10,-84,-94,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,119,-94,55
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","PhD",1,3344,-146,56
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,57
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,58
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,59
"276-987-5678","45987",60,456,398,-396,58,-338,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,914,-338,60
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,61
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,62
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,63
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,64
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,65
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,66
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,67
"617-555-1005","10040",145,2,0,143,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,68
"603-595-8711","21750",5,150,75,-145,75,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,230,-70,69
"214-455-2456","36785",100,9,60,91,-51,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,169,40,70
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,71
"415-987-1122","15563",1004,4,944,1000,-940,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,1952,60,72
"617-555-1335","10040",565,200,650,365,-450,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1415,-85,73
"603-595-8765","21750",333,130,144,203,-14,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,607,189,74
"415-987-8787","55166",550,55,500,495,-445,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1105,50,75
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,76
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,77
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,78
"617-555-1135","10040",999,900,1145,99,-245,-146,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,3044,-146,79
"603-595-1115","21750",5,55,1,-50,54,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,61,4,80
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","Masters",0,1031,-111,81
"214-455-3346","36785",55,444,678,-389,-234,-623,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1177,-623,82
"276-987-5678","45987",600,366,398,234,-32,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1364,202,83
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,84
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,85
"603-595-1865","21750",7543,16754,598,-9211,16156,6945,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,24895,6945,86
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,87
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,88
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,89
"415-987-0097","15563",53,9,29,44,-20,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,91,24,90
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,91
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,92
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,93
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,94
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,95
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,96
"603-595-8765","21750",4567,3534,144,1033,3390,4423,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,8245,4423,97
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,98
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,99
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,100
"415-987-1192","15563",5435,15,99,5420,-84,5336,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,5549,5336,101
"617-555-1135","10040",9,1200,1145,-1191,55,-1136,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Masters",1,2354,-1136,102
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,103
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,104
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,105
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,106
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,107
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,108
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,109
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,110
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,111
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,112
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,113
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,114
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,115
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,116
"276-987-3478","45987",88,20,50,68,-30,38,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,158,38,117
"415-987-1122","15563",500,800,944,-300,-144,-444,26,1,1,3,1,1,"Yes","M",25000,"C",0,"N",5,"None","PhD",1,2244,-444,118
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,119
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,120
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,121
