"PART_SN","DEFECTIVE","TORQUE_DEVIATION_PSI","OXIDE_CHROMATE_DPI","PAINT_PSI","DRYING_TIME_MIN","SOURCE","AMT_COATING","NOZZLE_PRESS_PSI","PAINT_ROBOT_NUM","EDUCATION_NUM","OPERATOR","EQUIPMENT","HOURS_PER_WEEK","SUPPLIER","SHIFT","GENDER"
183,"1",0,1369.52,52,130,"U.S.",141,191858,"ROBO_PAINT_22",12,"HANNER","ROBO_PAINT_22",40,"SHERWIN_PNT","WEEKEND_B","MALE"
184,"0",0,1225.5,50,108,"U.S.",78,87891,"ROBO_PAINT_22",10,"HANNER","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
185,"0",0,1225.5,50,108,"U.S.",50,165804,"AUTO_PAINT_B",10,"HANNER","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
186,"0",0,1225.67,67,154,"U.S.",78,161765,"ROBO_PAINT_22",10,"OBRIEN","ROBO_PAINT_22",57,"SHERWIN_PNT","1ST_SHIFT","MALE"
187,"0",0,1681.76,76,259,"U.S.",120,447739,"ROBO_PAINT_14",16,"RAMIREZ","ROBO_PAINT_14",60,"BEST_PAINT","1ST_SHIFT","MALE"
188,"1",4386,1525.93,493,151,"India",4572,70387,"ROBO_PAINT_22",14,"RAMIREZ","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
189,"0",0,900.45,45,54,"U.S.",78,152148,"ROBO_PAINT_22",5,"MALAKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
190,"0",0,1225.5,50,108,"England",150,27466,"ROBO_PAINT_14",10,"BRADY","ROBO_PAINT_14",40,"INDUSTRIAL_SPPLS","WEEKEND_B","FEMALE"
191,"0",0,1600.35,35,81,"U.S.",229,147393,"ROBO_PAINT_22",15,"BRADY","ROBO_PAINT_22",20,"SHERWIN_PNT","1ST_SHIFT","MALE"
192,"1",0,1444.68,68,193,"U.S.",107,236396,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",55,"SHERWIN_PNT","1ST_SHIFT","MALE"
193,"0",0,841.29,29,27,"U.S.",76,70697,"ROBO_PAINT_14",4,"MALAKY","ROBO_PAINT_14",25,"INDUSTRIAL_SPPLS","1ST_SHIFT","FEMALE"
194,"1",0,1444.53,53,140,"U.S.",133,320744,"ROBO_PAINT_22",13,"RAMIREZ","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
195,"1",0,1156.49,49,97,"U.S.",137,202106,"ROBO_PAINT_22",9,"?","ROBO_PAINT_22",40,"SHERWIN_PNT","?","MALE"
196,"0",0,1225.7,70,162,"U.S.",105,166813,"ROBO_PAINT_22",10,"BREUSKI","ROBO_PAINT_22",60,"SHERWIN_PNT","2ND_SHIFT","MALE"
197,"0",0,1156.49,49,97,"U.S.",59,165673,"ROBO_PAINT_22",9,"OBRIEN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
198,"1",5178,1301.69,569,119,"U.S.",5285,248011,"ROBO_PAINT_22",11,"JOHNSKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
199,"0",0,1225.5,50,108,"U.S.",58,329174,"ROBO_PAINT_14",10,"?","ROBO_PAINT_14",40,"BEST_PAINT","?","MALE"
200,"0",0,1444.63,63,176,"U.S.",101,188798,"ROBO_PAINT_14",13,"BRADY","ROBO_PAINT_14",50,"BEST_PAINT","3RD_SHIFT","FEMALE"
201,"1",0,1296.51,51,119,"U.S.",118,227910,"ROBO_PAINT_6",11,"RAMIREZ","ROBO_PAINT_6",40,"SHERWIN_PNT","WEEKEND_A","FEMALE"
202,"1",99999,1544.53,10053,140,"U.S.",100149,222115,"ROBO_PAINT_14",13,"HANNER","ROBO_PAINT_14",40,"ACME_INC","3RD_SHIFT","FEMALE"
203,"0",0,1225.5,50,108,"Iran",60,122166,"AUTO_PAINT_B",10,"HANNER","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
204,"0",0,1156.89,89,194,"U.S.",52,134997,"AUTO_PAINT_C",9,"MALAKY","AUTO_PAINT_C",80,"ACME_INC","1ST_SHIFT","FEMALE"
205,"1",8614,1165.13,913,104,"U.S.",8711,112763,"AUTO_PAINT_C",9,"HANNER","AUTO_PAINT_C",43,"BEST_PAINT","1ST_SHIFT","FEMALE"
206,"0",0,1444.61,61,168,"U.S.",104,97306,"ROBO_PAINT_14",13,"HANNER","ROBO_PAINT_14",48,"BEST_PAINT","1ST_SHIFT","FEMALE"
207,"0",0,1156.57,57,117,"U.S.",99,462838,"ROBO_PAINT_14",9,"SCHILLER","ROBO_PAINT_14",48,"ACME_INC","1ST_SHIFT","FEMALE"
208,"0",0,1156.69,69,146,"U.S.",115,25932,"ROBO_PAINT_22",9,"BREUSKI","ROBO_PAINT_22",60,"SHERWIN_PNT","2ND_SHIFT","MALE"
209,"0",0,900.45,45,54,"U.S.",80,50442,"AUTO_PAINT_A",5,"HANNER","AUTO_PAINT_A",40,"BEST_PAINT","3RD_SHIFT","MALE"
210,"0",0,1024.47,47,76,"U.S.",44,210184,"AUTO_PAINT_B",7,"CHRISTIAN","AUTO_PAINT_B",40,"AHERN_PAINT_SUPPLIES","1ST_SHIFT","MALE"
211,"0",0,1369.6,60,156,"U.S.",132,100479,"ROBO_PAINT_22",12,"RAMIREZ","ROBO_PAINT_22",48,"SHERWIN_PNT","3RD_SHIFT","MALE"
212,"0",0,1296.51,51,119,"U.S.",121,193882,"ROBO_PAINT_14",11,"LOPEZ","ROBO_PAINT_14",40,"BEST_PAINT","3RD_SHIFT","MALE"
213,"0",0,1156.49,49,97,"U.S.",63,205337,"ROBO_PAINT_22",9,"JOHNSKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
214,"0",0,1225.5,50,108,"U.S.",135,113000,"ROBO_PAINT_22",10,"BREUSKI","ROBO_PAINT_22",40,"SHERWIN_PNT","3RD_SHIFT","MALE"
215,"1",99999,1325.65,10065,149,"U.S.",100107,172826,"ROBO_PAINT_22",10,"OBRIEN","ROBO_PAINT_22",55,"SHERWIN_PNT","SWING","MALE"
216,"0",0,1296.51,51,119,"U.S.",58,306967,"ROBO_PAINT_14",11,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
217,"0",0,1225.5,50,108,"U.S.",73,82910,"ROBO_PAINT_22",10,"BECKETTON","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
218,"0",0,1156.59,59,122,"U.S.",99,274363,"ROBO_PAINT_14",9,"OBRIEN","ROBO_PAINT_14",50,"ACME_INC","2ND_SHIFT","MALE"
219,"0",0,1444.63,63,176,"U.S.",153,192776,"ROBO_PAINT_22",13,"RAMIREZ","ROBO_PAINT_22",50,"SHERWIN_PNT","1ST_SHIFT","MALE"
220,"0",0,1156.41,41,78,"U.S.",119,287317,"AUTO_PAINT_C",9,"JOHNSKY","AUTO_PAINT_C",32,"ACME_INC","1ST_SHIFT","MALE"
221,"1",0,1444.93,93,281,"U.S.",85,189502,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",80,"SHERWIN_PNT","SWING","MALE"
222,"0",0,1156.29,29,49,"U.S.",43,204441,"AUTO_PAINT_A",9,"?","AUTO_PAINT_A",20,"BEST_PAINT","?","MALE"
223,"1",0,1681.76,76,259,"U.S.",272,235882,"ROBO_PAINT_22",16,"RAMIREZ","ROBO_PAINT_22",60,"SHERWIN_PNT","WEEKEND_A","MALE"
224,"0",0,1444.53,53,140,"U.S.",101,198452,"AUTO_PAINT_B",13,"HANNER","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
225,"0",0,1156.49,49,97,"?",56,233777,"AUTO_PAINT_A",9,"BECKETTON","AUTO_PAINT_A",40,"BEST_PAINT","1ST_SHIFT","MALE"
226,"1",0,1444.68,68,193,"U.S.",159,199029,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",55,"SHERWIN_PNT","1ST_SHIFT","MALE"
227,"0",0,1156.49,49,97,"U.S.",65,173851,"ROBO_PAINT_22",9,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
228,"0",0,1521.54,54,151,"India",172,138370,"ROBO_PAINT_14",14,"BARGER","ROBO_PAINT_14",40,"CARTER","1ST_SHIFT","MALE"
229,"0",0,1089.28,28,43,"U.S.",36,31983,"AUTO_PAINT_B",8,"HANNER","AUTO_PAINT_B",20,"BEST_PAINT","1ST_SHIFT","FEMALE"
230,"0",0,1225.5,50,108,"?",83,180656,"ROBO_PAINT_14",10,"CHRISTIAN","ROBO_PAINT_14",40,"CARTER","1ST_SHIFT","MALE"
231,"1",0,1521.64,64,189,"U.S.",158,260490,"ROBO_PAINT_22",14,"BRADY","ROBO_PAINT_22",50,"SHERWIN_PNT","1ST_SHIFT","MALE"
232,"0",5013,1301.52,552,119,"U.S.",5148,87928,"ROBO_PAINT_22",11,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
233,"0",0,1444.53,53,140,"U.S.",143,167280,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",40,"SHERWIN_PNT","2ND_SHIFT","MALE"
234,"0",0,1225.5,50,108,"U.S.",105,52849,"ROBO_PAINT_22",10,"JOHNSKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
235,"0",0,1444.43,43,105,"U.S.",111,124052,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",30,"SHERWIN_PNT","2ND_SHIFT","MALE"
236,"1",0,1444.53,53,140,"?",124,125933,"ROBO_PAINT_22",13,"BRADY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
237,"0",0,1225.26,26,43,"U.S.",48,307496,"AUTO_PAINT_B",10,"MALAKY","AUTO_PAINT_B",16,"BEST_PAINT","1ST_SHIFT","FEMALE"
238,"0",0,1156.44,44,85,"U.S.",43,272063,"AUTO_PAINT_B",9,"SCHILLER","AUTO_PAINT_B",35,"BEST_PAINT","1ST_SHIFT","MALE"
239,"0",0,1156.49,49,97,"U.S.",99,86298,"ROBO_PAINT_14",9,"CHRISTIAN","ROBO_PAINT_14",40,"ACME_INC","1ST_SHIFT","MALE"
240,"0",0,1024.37,37,57,"U.S.",84,80430,"ROBO_PAINT_14",7,"MALAKY","ROBO_PAINT_14",30,"BEST_PAINT","1ST_SHIFT","FEMALE"
241,"0",0,1444.58,58,158,"France",146,107231,"ROBO_PAINT_14",13,"RAMIREZ","ROBO_PAINT_14",45,"ACME_INC","2ND_SHIFT","MALE"
242,"1",0,1156.49,49,97,"U.S.",92,203233,"ROBO_PAINT_22",9,"BRADY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
243,"0",0,1521.54,54,151,"U.S.",130,194630,"AUTO_PAINT_B",14,"BRADY","AUTO_PAINT_B",40,"BEST_PAINT","WEEKEND_B","FEMALE"
244,"1",0,1225.65,65,149,"U.S.",108,191196,"ROBO_PAINT_22",10,"BRADY","ROBO_PAINT_22",55,"SHERWIN_PNT","1ST_SHIFT","MALE"
245,"1",0,1296.51,51,119,"?",110,121772,"ROBO_PAINT_22",11,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
246,"0",0,1225.5,50,108,"U.S.",50,115057,"ROBO_PAINT_14",10,"MALAKY","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","MALE"
247,"0",0,1369.72,72,194,"U.S.",69,182117,"AUTO_PAINT_B",12,"MALAKY","AUTO_PAINT_B",60,"BEST_PAINT","1ST_SHIFT","MALE"
248,"0",0,1225.5,50,108,"U.S.",83,102130,"AUTO_PAINT_B",10,"?","AUTO_PAINT_B",40,"BEST_PAINT","?","MALE"
249,"0",0,1296.26,26,45,"U.S.",176,338355,"ROBO_PAINT_6",11,"?","ROBO_PAINT_6",15,"SHERWIN_PNT","?","FEMALE"
250,"0",0,1225.5,50,108,"U.S.",58,197613,"ROBO_PAINT_14",10,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
251,"0",0,1369.6,60,156,"U.S.",108,416745,"ROBO_PAINT_14",12,"BRADY","ROBO_PAINT_14",48,"ACME_INC","1ST_SHIFT","MALE"
252,"0",0,1444.53,53,140,"U.S.",114,84787,"ROBO_PAINT_22",13,"MALAKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
253,"0",0,900.45,45,54,"Phil.",28,82393,"AUTO_PAINT_B",5,"SCHILLER","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","MALE"
254,"0",0,1024.47,47,76,"U.S.",67,190759,"ROBO_PAINT_22",7,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
255,"0",0,1296.51,51,119,"U.S.",74,178688,"AUTO_PAINT_A",11,"CHRISTIAN","AUTO_PAINT_A",40,"BEST_PAINT","1ST_SHIFT","MALE"
256,"0",0,1444.83,83,246,"U.S.",150,267588,"ROBO_PAINT_6",13,"RAMIREZ","ROBO_PAINT_6",70,"SHERWIN_PNT","3RD_SHIFT","FEMALE"
257,"0",0,1225.5,50,108,"U.S.",50,84726,"ROBO_PAINT_14",10,"LOPEZ","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
258,"1",0,1521.52,52,144,"U.S.",161,125457,"ROBO_PAINT_22",14,"RAMIREZ","ROBO_PAINT_22",38,"SHERWIN_PNT","3RD_SHIFT","MALE"
259,"0",0,1225.3,30,54,"U.S.",50,38620,"AUTO_PAINT_B",10,"MALAKY","AUTO_PAINT_B",20,"BEST_PAINT","1ST_SHIFT","MALE"
260,"0",0,1156.49,49,97,"U.S.",61,302422,"ROBO_PAINT_14",9,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","MALE"
261,"0",0,1089.48,48,86,"U.S.",82,327606,"ROBO_PAINT_14",8,"CHRISTIAN","ROBO_PAINT_14",40,"AHERN_PAINT_SUPPLIES","1ST_SHIFT","MALE"
262,"0",0,1156.59,59,122,"?",65,54411,"ROBO_PAINT_14",9,"BREUSKI","ROBO_PAINT_14",50,"BEST_PAINT","1ST_SHIFT","MALE"
263,"0",0,1156.49,49,97,"U.S.",92,33310,"ROBO_PAINT_14",9,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
264,"0",0,1089.48,48,86,"U.S.",80,220563,"ROBO_PAINT_14",8,"CHRISTIAN","ROBO_PAINT_14",40,"ACME_INC","1ST_SHIFT","MALE"
265,"0",0,1156.49,49,97,"U.S.",54,161092,"AUTO_PAINT_B",9,"MALAKY","AUTO_PAINT_B",40,"BEST_PAINT","3RD_SHIFT","MALE"
266,"0",0,1156.56,56,114,"U.S.",131,190541,"ROBO_PAINT_14",9,"OBRIEN","ROBO_PAINT_14",47,"BEST_PAINT","SWING","MALE"
267,"0",0,1024.47,47,76,"U.S.",102,193568,"ROBO_PAINT_14",7,"MALAKY","ROBO_PAINT_14",40,"INDUSTRIAL_SPPLS","1ST_SHIFT","FEMALE"
268,"1",0,1444.59,59,161,"U.S.",195,238913,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",46,"SHERWIN_PNT","1ST_SHIFT","MALE"
269,"0",0,1369.55,55,139,"U.S.",129,37937,"ROBO_PAINT_22",12,"LOPEZ","ROBO_PAINT_22",43,"SHERWIN_PNT","3RD_SHIFT","MALE"
270,"0",0,1369.52,52,130,"U.S.",78,162872,"ROBO_PAINT_14",12,"RAMIREZ","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
271,"0",0,1225.5,50,108,"U.S.",150,136939,"ROBO_PAINT_22",10,"BECKETTON","ROBO_PAINT_22",40,"SHERWIN_PNT","WEEKEND_A","MALE"
272,"0",0,1296.51,51,119,"U.S.",118,373403,"ROBO_PAINT_22",11,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
273,"0",0,1156.49,49,97,"U.S.",101,186473,"AUTO_PAINT_C",9,"HANNER","AUTO_PAINT_C",40,"ACME_INC","1ST_SHIFT","FEMALE"
274,"0",0,1156.52,52,104,"U.S.",104,162030,"AUTO_PAINT_C",9,"HANNER","AUTO_PAINT_C",43,"INDUSTRIAL_SPPLS","1ST_SHIFT","FEMALE"
275,"0",0,1225.5,50,108,"U.S.",60,136310,"ROBO_PAINT_22",10,"LOPEZ","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
276,"0",0,784.43,43,32,"Mexico",17,308205,"AUTO_PAINT_A",3,"BREUSKI","AUTO_PAINT_A",40,"BEST_PAINT","1ST_SHIFT","MALE"
277,"0",0,961.42,42,58,"U.S.",89,119344,"ROBO_PAINT_6",6,"BRADY","ROBO_PAINT_6",36,"SHERWIN_PNT","2ND_SHIFT","FEMALE"
278,"0",0,1156.49,49,97,"U.S.",86,202683,"ROBO_PAINT_14",9,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","MALE"
279,"0",0,1444.43,43,105,"U.S.",104,210541,"AUTO_PAINT_C",13,"OBRIEN","AUTO_PAINT_C",30,"ACME_INC","1ST_SHIFT","FEMALE"
280,"1",0,1444.53,53,140,"U.S.",117,68273,"ROBO_PAINT_22",13,"OBRIEN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
281,"0",0,1024.47,47,76,"U.S.",44,254933,"ROBO_PAINT_22",7,"BECKETTON","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
282,"0",0,900.45,45,54,"U.S.",39,200246,"AUTO_PAINT_B",5,"MALAKY","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","MALE"
283,"1",13550,1239.05,1405,108,"U.S.",13640,192443,"ROBO_PAINT_14",10,"BRADY","ROBO_PAINT_14",40,"BEST_PAINT","WEEKEND_B","MALE"
284,"0",2635,1159.13,313,97,"U.S.",2779,116084,"ROBO_PAINT_22",9,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
285,"1",0,1681.76,76,259,"U.S.",180,201699,"ROBO_PAINT_22",16,"RAMIREZ","ROBO_PAINT_22",60,"SHERWIN_PNT","SWING","MALE"
286,"0",0,1681.51,51,151,"U.S.",144,347491,"ROBO_PAINT_22",16,"RAMIREZ","ROBO_PAINT_22",35,"SHERWIN_PNT","2ND_SHIFT","MALE"
287,"0",0,1225.5,50,108,"U.S.",85,112115,"AUTO_PAINT_A",10,"CHRISTIAN","AUTO_PAINT_A",40,"BEST_PAINT","WEEKEND_B","MALE"
288,"0",0,1156.54,54,109,"U.S.",88,75995,"AUTO_PAINT_C",9,"BRADY","AUTO_PAINT_C",45,"ACME_INC","1ST_SHIFT","FEMALE"
289,"0",0,1156.65,65,136,"U.S.",81,192614,"ROBO_PAINT_14",9,"JOHNSKY","ROBO_PAINT_14",56,"ACME_INC","1ST_SHIFT","MALE"
290,"0",0,1600.75,75,243,"U.S.",105,302406,"ROBO_PAINT_14",15,"RAMIREZ","ROBO_PAINT_14",60,"BEST_PAINT","1ST_SHIFT","MALE"
291,"1",0,1444.53,53,140,"U.S.",143,48087,"ROBO_PAINT_22",13,"BRADY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
292,"0",0,1225.5,50,108,"U.S.",50,396722,"ROBO_PAINT_14",10,"OBRIEN","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
293,"0",0,1369.52,52,130,"U.S.",90,251825,"AUTO_PAINT_C",12,"JOHNSKY","AUTO_PAINT_C",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
294,"0",0,1156.49,49,97,"U.S.",119,47396,"ROBO_PAINT_22",9,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
295,"0",0,961.26,26,32,"U.S.",29,105289,"AUTO_PAINT_A",6,"MALAKY","AUTO_PAINT_A",20,"BEST_PAINT","1ST_SHIFT","FEMALE"
296,"0",0,1521.64,64,189,"U.S.",158,125489,"AUTO_PAINT_C",14,"RAMIREZ","AUTO_PAINT_C",50,"ACME_INC","1ST_SHIFT","FEMALE"
297,"0",0,1225.5,50,108,"?",158,88653,"ROBO_PAINT_22",10,"RAMIREZ","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
298,"0",0,1156.49,49,97,"U.S.",61,401723,"ROBO_PAINT_14",9,"HANNER","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
367,"0",0,1156.49,49,97,"U.S.",108,199739,"AUTO_PAINT_C",9,"CHRISTIAN","AUTO_PAINT_C",40,"ACME_INC","1ST_SHIFT","FEMALE"
368,"1",15024,1536.54,1554,144,"U.S.",15210,43952,"ROBO_PAINT_22",14,"BRADY","ROBO_PAINT_22",38,"SHERWIN_PNT","WEEKEND_A","MALE"
369,"1",0,1225.5,50,108,"U.S.",83,122220,"ROBO_PAINT_6",10,"BRADY","ROBO_PAINT_6",40,"SHERWIN_PNT","WEEKEND_B","FEMALE"
370,"0",0,1156.28,28,46,"U.S.",74,170336,"ROBO_PAINT_6",9,"HANNER","ROBO_PAINT_6",19,"SHERWIN_PNT","1ST_SHIFT","FEMALE"
371,"0",0,1681.76,76,259,"U.S.",148,143368,"ROBO_PAINT_22",16,"RAMIREZ","ROBO_PAINT_22",60,"SHERWIN_PNT","2ND_SHIFT","MALE"
372,"0",0,1225.5,50,108,"U.S.",55,190916,"AUTO_PAINT_B",10,"LOPEZ","AUTO_PAINT_B",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
373,"0",0,1225.35,35,68,"U.S.",170,174695,"AUTO_PAINT_C",10,"BREUSKI","AUTO_PAINT_C",25,"CARTER","CONTRACT_2","FEMALE"
374,"0",0,1156.49,49,97,"U.S.",59,68991,"AUTO_PAINT_C",9,"MALAKY","AUTO_PAINT_C",40,"BEST_PAINT","1ST_SHIFT","MALE"
375,"0",0,1225.27,27,46,"U.S.",123,133729,"ROBO_PAINT_22",10,"MALAKY","ROBO_PAINT_22",17,"SHERWIN_PNT","1ST_SHIFT","MALE"
376,"1",0,1600.65,65,203,"U.S.",210,94156,"ROBO_PAINT_22",15,"RAMIREZ","ROBO_PAINT_22",50,"SHERWIN_PNT","2ND_SHIFT","MALE"
377,"0",0,1444.53,53,140,"U.S.",91,190391,"ROBO_PAINT_14",13,"OBRIEN","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","MALE"
378,"0",0,1156.49,49,97,"U.S.",140,151369,"ROBO_PAINT_14",9,"CHRISTIAN","ROBO_PAINT_14",40,"BEST_PAINT","3RD_SHIFT","MALE"
379,"0",0,1156.19,19,24,"U.S.",43,43887,"AUTO_PAINT_B",9,"BREUSKI","AUTO_PAINT_B",10,"BEST_PAINT","CONTRACT_2","MALE"
380,"0",0,1296.61,61,149,"U.S.",96,63509,"ROBO_PAINT_22",11,"CHRISTIAN","ROBO_PAINT_22",50,"SHERWIN_PNT","1ST_SHIFT","MALE"
381,"1",0,1225.6,60,135,"U.S.",110,158555,"ROBO_PAINT_22",10,"BRADY","ROBO_PAINT_22",50,"SHERWIN_PNT","2ND_SHIFT","MALE"
382,"0",0,1156.49,49,97,"U.S.",104,105327,"ROBO_PAINT_14",9,"CHRISTIAN","ROBO_PAINT_14",40,"ACME_INC","1ST_SHIFT","MALE"
